"","Trial_Id","Trial_Nr","Task_Name","timestamp","sub","x","y","time","conf","el_x","el_y","el_pupil_left","el_pupil_right","el_time","time_start","time_diff","Freq"
"1",22,1,"experimental_task_B",1750155564099,1,302.890258365207,172.350212931633,1750155564067.3,1,240.3,129.2,451,271,1957219,20.300048828125,NA,"low"
"2",22,1,"experimental_task_B",1750155564131,1,133.715852101644,116.4770424366,1750155564099.5,1,233.75,131.55,450,269,1957252,52.5,32.199951171875,"low"
"3",22,1,"experimental_task_B",1750155564164,1,120.127211676704,94.0552353858948,1750155564131.7,1,230.5,134.55,447,268,1957284,84.7001953125,32.2001953125,"low"
"4",22,1,"experimental_task_B",1750155564200,1,93.0292977227105,90.6711667776108,1750155564163.2,1,227.1,135.45,449,271,1957315,116.2001953125,31.5,"low"
"5",22,1,"experimental_task_B",1750155564240,1,112.265862358941,84.7887545824051,1750155564195.4,1,225.7,131.9,450,273,1957347,148.400146484375,32.199951171875,"low"
"6",22,1,"experimental_task_B",1750155564264,1,97.0665189954969,93.7387496232986,1750155564227.6,1,224.4,131.95,447,269,1957380,180.60009765625,32.199951171875,"low"
"7",22,1,"experimental_task_B",1750155564296,1,99.8785866631402,78.8463950157166,1750155564259,1,224.4,132.7,444,268,1957411,212,31.39990234375,"low"
"8",22,1,"experimental_task_B",1750155564338,1,101.606114705404,105.237007141113,1750155564290.8,1,216.45,112.5,435,256,1957443,243.800048828125,31.800048828125,"low"
"9",22,1,"experimental_task_B",1750155564366,1,96.0590150621202,80.2190899848938,1750155564324.6,1,214,115.1,430,252,1957477,277.60009765625,33.800048828125,"low"
"10",22,1,"experimental_task_B",1750155564397,1,77.6694721645779,103.412926197052,1750155564354.8,1,237.15,112.35,429,251,1957507,307.800048828125,30.199951171875,"low"
"11",22,1,"experimental_task_B",1750155564430,1,230.079303847419,59.6273094415665,1750155564386.8,1,527.35,127.8,402,272,1957539,339.800048828125,32,"low"
"12",22,1,"experimental_task_B",1750155564463,1,228.470309575399,102.059915661812,1750155564419.2,1,536.15,127.5,391,271,1957571,372.2001953125,32.400146484375,"low"
"13",22,1,"experimental_task_B",1750155564498,1,250.696351793077,69.3285763263702,1750155564451.5,1,534.45,125.4,394,258,1957604,404.5,32.2998046875,"low"
"14",22,1,"experimental_task_B",1750155564530,1,197.674616177877,85.8873575925827,1750155564483.1,1,535.55,130,399,263,1957635,436.10009765625,31.60009765625,"low"
