"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker","word_length"
"1",1,68,"high",2,"minerales","No",399.60009765625,NA,703.199951171875,703.199951171875,"Webcam",9
"2",1,68,"high",3,"valiosos","No",544.600097656245,544.600097656245,544.600097656245,544.600097656245,"Webcam",8
"3",1,68,"high",5,"las","No",239.39990234375,239.39990234375,239.39990234375,239.39990234375,"Webcam",3
"4",1,68,"high",6,"tierras","Yes",176.30004882813,176.30004882813,176.30004882813,176.30004882813,"Webcam",7
"5",1,68,"high",8,"sur.","No",96.30004882812,96.30004882812,96.30004882812,96.30004882812,"Webcam",4
"6",1,4,"low",1,"Esta","No",NA,NA,NA,95.60009765625,"Webcam",4
"7",1,4,"low",2,"mañana","No",161.800048828125,NA,319.5,319.5,"Webcam",6
"8",1,4,"low",4,"lago","Yes",144.10009765625,144.10009765625,144.10009765625,418.80004882812,"Webcam",4
"9",1,4,"low",5,"está","No",143.100097656255,143.100097656255,143.100097656255,224.300292968755,"Webcam",4
"10",1,4,"low",6,"lleno","No",112.69995117188,112.69995117188,112.69995117188,112.69995117188,"Webcam",5
"11",1,4,"low",8,"patos","No",160.39990234374,160.39990234374,160.39990234374,160.39990234374,"Webcam",5
"12",1,4,"low",10,"peces.","No",94.89990234374,94.89990234374,94.89990234374,94.89990234374,"Webcam",6
"13",1,16,"low",1,"Estando","No",335,335,335,335,"Webcam",7
"14",1,16,"low",3,"la","No",497.099853515625,497.099853515625,497.099853515625,689.299804687495,"Webcam",2
"15",1,16,"low",6,"magia","Yes",192.199951171875,192.199951171875,192.199951171875,192.199951171875,"Webcam",5
"16",1,16,"low",7,"se","No",192.39990234374,192.39990234374,192.39990234374,192.39990234374,"Webcam",2
"17",1,16,"low",8,"nota","No",127.7998046875,127.7998046875,127.7998046875,127.7998046875,"Webcam",4
"18",1,16,"low",9,"menos.","No",221.39990234374,221.39990234374,221.39990234374,221.39990234374,"Webcam",6
"19",1,55,"high",1,"Vamos","No",239.89990234375,239.89990234375,239.89990234375,239.89990234375,"Webcam",5
"20",1,55,"high",2,"a","No",NA,NA,NA,159.30004882812,"Webcam",1
"21",1,55,"high",3,"sacar","No",178.39990234375,178.39990234375,178.39990234375,178.39990234375,"Webcam",5
"22",1,55,"high",5,"informe","Yes",336.199951171875,336.199951171875,336.199951171875,336.199951171875,"Webcam",7
"23",1,55,"high",6,"para","No",NA,NA,NA,143.5,"Webcam",4
"24",1,55,"high",7,"la","No",144.09985351562,144.09985351562,144.09985351562,144.09985351562,"Webcam",2
"25",1,55,"high",8,"reunión.","No",175,175,175,175,"Webcam",8
"26",1,10,"low",2,"puede","No",286.89990234375,286.89990234375,286.89990234375,510.80004882813,"Webcam",5
"27",1,10,"low",3,"dejar","No",287.10009765625,287.10009765625,287.10009765625,287.10009765625,"Webcam",5
"28",1,10,"low",5,"buscar","No",255.89990234375,255.89990234375,255.89990234375,255.89990234375,"Webcam",6
"29",1,10,"low",6,"fama","Yes",208.39990234376,208.39990234376,208.39990234376,208.39990234376,"Webcam",4
"30",1,10,"low",8,"riqueza.","No",192.09985351563,192.09985351563,192.09985351563,192.09985351563,"Webcam",8
"31",1,17,"low",1,"Tengo","No",320.89990234375,320.89990234375,320.89990234375,320.89990234375,"Webcam",5
"32",1,17,"low",2,"ganas","No",95.400146484375,95.400146484375,95.400146484375,95.400146484375,"Webcam",5
"33",1,17,"low",4,"que","No",301.10009765625,301.10009765625,301.10009765625,301.10009765625,"Webcam",3
"34",1,17,"low",7,"nieve","Yes",320.60009765626,320.60009765626,320.60009765626,320.60009765626,"Webcam",5
"35",1,17,"low",9,"fin.","No",145.5,145.5,145.5,145.5,"Webcam",4
"36",1,83,"high",2,"diferentes","No",336.10009765625,NA,431.900146484375,847.500000000005,"Webcam",10
"37",1,83,"high",3,"estudios","Yes",193.300048828125,193.300048828125,193.300048828125,193.300048828125,"Webcam",8
"38",1,83,"high",5,"sido","No",352.09985351563,352.09985351563,352.09985351563,352.09985351563,"Webcam",4
"39",1,83,"high",6,"concluyentes.","No",272,NA,400,400,"Webcam",13
"40",1,34,"low",2,"profesor","No",319.89990234375,319.89990234375,319.89990234375,480.19995117188,"Webcam",8
"41",1,34,"low",3,"dibujó","No",254.39990234375,254.39990234375,254.39990234375,254.39990234375,"Webcam",6
"42",1,34,"low",5,"objeto","Yes",194.699951171875,194.699951171875,194.699951171875,194.699951171875,"Webcam",6
"43",1,34,"low",7,"la","No",333,333,333,333,"Webcam",2
