"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker"
"1",1,68,"high",6,"tierras","Yes",176.30004882813,176.30004882813,176.30004882813,176.30004882813,"Webcam"
"2",1,4,"low",4,"lago","Yes",144.10009765625,144.10009765625,144.10009765625,418.80004882812,"Webcam"
"3",1,16,"low",6,"magia","Yes",192.199951171875,192.199951171875,192.199951171875,192.199951171875,"Webcam"
"4",1,55,"high",5,"informe","Yes",336.199951171875,336.199951171875,336.199951171875,336.199951171875,"Webcam"
"5",1,10,"low",6,"fama","Yes",208.39990234376,208.39990234376,208.39990234376,208.39990234376,"Webcam"
"6",1,17,"low",7,"nieve","Yes",320.60009765626,320.60009765626,320.60009765626,320.60009765626,"Webcam"
"7",1,83,"high",3,"estudios","Yes",193.300048828125,193.300048828125,193.300048828125,193.300048828125,"Webcam"
"8",1,34,"low",5,"objeto","Yes",194.699951171875,194.699951171875,194.699951171875,194.699951171875,"Webcam"
"9",1,14,"low",4,"grano","Yes",434.10009765625,434.10009765625,434.10009765625,434.10009765625,"Webcam"
"10",1,24,"low",5,"peces","Yes",206.60009765625,206.60009765625,206.60009765625,206.60009765625,"Webcam"
"11",1,53,"high",4,"derecho","Yes",128.5,128.5,128.5,128.5,"Webcam"
"12",1,63,"high",7,"minutos","Yes",176.2001953125,176.2001953125,176.2001953125,478.30029296875,"Webcam"
"13",1,78,"high",8,"sociedad","Yes",179,179,179,179,"Webcam"
"14",1,96,"high",4,"canciones","Yes",255.7998046875,255.7998046875,255.7998046875,449.09985351563,"Webcam"
"15",1,28,"low",4,"bolas","Yes",257.500000000005,257.500000000005,257.500000000005,257.500000000005,"Webcam"
"16",1,44,"low",5,"gastos","Yes",207.900146484375,207.900146484375,207.900146484375,368.000244140635,"Webcam"
"17",1,74,"high",3,"artículo","Yes",208,208,208,208,"Webcam"
"18",1,18,"low",6,"frase","Yes",176.399902343745,176.399902343745,176.399902343745,176.399902343745,"Webcam"
"19",1,2,"low",5,"tono","Yes",288.000000000005,288.000000000005,288.000000000005,288.000000000005,"Webcam"
"20",1,50,"low",4,"pistas","Yes",209.60009765625,209.60009765625,209.60009765625,209.60009765625,"Webcam"
"21",1,38,"low",5,"parada","Yes",208.199951171875,208.199951171875,208.199951171875,208.199951171875,"Webcam"
"22",1,23,"low",5,"daños","Yes",144.10009765625,144.10009765625,144.10009765625,383.10009765625,"Webcam"
"23",1,88,"high",4,"regiones","Yes",333.300048828125,333.300048828125,333.300048828125,333.300048828125,"Webcam"
"24",1,99,"high",6,"películas","Yes",287.900146484375,287.900146484375,287.900146484375,287.900146484375,"Webcam"
"25",1,89,"high",3,"especies","Yes",143.800048828125,143.800048828125,143.800048828125,493.5,"Webcam"
"26",1,64,"high",5,"pueblos","Yes",156.799804687505,156.799804687505,156.799804687505,156.799804687505,"Webcam"
"27",1,19,"low",6,"arena","Yes",288.100097656255,288.100097656255,288.100097656255,288.100097656255,"Webcam"
"28",1,46,"low",6,"marcas","Yes",255.599853515625,255.599853515625,255.599853515625,431.299804687505,"Webcam"
"29",1,91,"high",3,"alimentos","Yes",224,224,224,224,"Webcam"
"30",1,73,"high",5,"escritor","Yes",193,193,193,193,"Webcam"
"31",1,3,"low",6,"sofá","Yes",207.300048828125,207.300048828125,207.300048828125,207.300048828125,"Webcam"
"32",1,12,"low",4,"patio","Yes",191.5,191.5,191.5,191.5,"Webcam"
"33",1,40,"low",6,"cuerda","Yes",206.799804687505,206.799804687505,206.799804687505,367.299804687505,"Webcam"
"34",1,97,"high",6,"fronteras","Yes",159.800048828125,159.800048828125,159.800048828125,593.500000000005,"Webcam"
"35",1,82,"high",5,"partidos","Yes",225.300048828125,225.300048828125,225.300048828125,225.300048828125,"Webcam"
"36",1,45,"low",4,"grados","Yes",96,96,96,96,"Webcam"
"37",1,51,"high",6,"sistema","Yes",256.2001953125,256.2001953125,256.2001953125,256.2001953125,"Webcam"
"38",1,1,"low",6,"humo","Yes",252.60009765625,252.60009765625,252.60009765625,252.60009765625,"Webcam"
"39",1,30,"low",5,"botas","Yes",144.09985351563,144.09985351563,144.09985351563,144.09985351563,"Webcam"
"40",1,41,"low",3,"viajes","Yes",290.39990234375,290.39990234375,290.39990234375,290.39990234375,"Webcam"
