Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,index_value,key_pressed_Frame_3,key_pressed_sentence,question_column_number,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2B_value,sentenceA_line2_value,trial_end,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1373010,1,1,block_1,1,instructions,1,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1373010,1,3,block_1,1,prac_task,2,8,SI,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,"","",undefined,7,"","","","","","","","","","","","",5613,El niño no quería,quedarse en casa.,"","","",5,"","",1751038800122,1751038794510,"","","",""
1373010,1,1,block_1,1,end_practice,3,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1373010,1,23,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",3476,Cuando se den estos casos,reacciona deprisa. ,"","","",5,"","",1751038846159,1751038842684,"","","",""
1373010,1,1,block_1,1,outro,5,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1373010,2,1,block_1,1,prac_task,2,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,SI,"",undefined,7,"","","","","","","","","","","","",2497,No hemos llegado todavía,al parque de atracciones.,"","","",5,"","",1751038805631,1751038803134,"","","",""
1373010,2,78,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1861,Se trata de un reflejo de,la pantalla por la luz. ,"","","",5,"","",1751038848319,1751038846459,"","","",""
1373010,3,2,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1937,Espero que este verano,sea algo más fresco.,"","","",5,"","",1751038809991,1751038808054,"","","",""
1373010,3,12,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1602,Para recorrer el mundo,necesitarás ayuda. ,"","","",5,"","",1751038850227,1751038848626,"","","",""
1373010,4,4,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2039,Cuando suene la sirena,saldrán por la puerta.,"","","",5,"","",1751038812343,1751038810304,"","","",""
1373010,4,33,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1507,El movimiento del hombre,fue inesperado. ,"","","",5,"","",1751038851999,1751038850492,"","","",""
1373010,5,5,block_1,1,prac_task,2,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,"","",undefined,7,"","","","","","","","","","","","",1792,La pared está manchada,de pintura verde.,"","","",5,"","",1751038814407,1751038812615,"","","",""
1373010,5,92,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",1903,Son demasiados los,empleados en la empresa. ,"","","",5,"","",1751038854207,1751038852304,"","","",""
1373010,6,57,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Compraron la obra?,¿Compraron la obra?,"","","","","","","","","","",2281,Durante la subasta la,pintura se vendió. ,"","","",5,"","",1751038856792,1751038854512,"","","",""
1373010,7,8,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2737,No se ha elegido dónde,hacer la obra todavía. ,"","","",5,"","",1751038861671,1751038858934,"","","",""
1373010,8,90,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,SI,"",undefined,7,¿Van cortos de tiempo?,¿Van cortos de tiempo?,"","","","","","","","","","",2136,No podremos terminar las,galletas esta tarde. ,"","","",5,"","",1751038864111,1751038861976,"","","",""
1373010,9,48,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2651,Tengo que revisar estas,clases antes de llegar. ,"","","",5,"","",1751038869423,1751038866773,"","","",""
1373010,10,1,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,¿Se veía algo positivo?,¿Se veía algo positivo?,"","","","","","","","","","",1962,Se podía ver que el país,iba a mejor. ,"","","",5,"","",1751038871649,1751038869688,"","","",""
1373010,11,45,block_1,1,experimentaltask_B,4,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,SI,"",undefined,7,¿Se necesita compromiso?,¿Se necesita compromiso?,"","","","","","","","","","",1744,Hacen falta unos padres,más comprometidos.,"","","",5,"","",1751038876423,1751038874680,"","","",""
1373010,12,28,block_1,1,experimentaltask_B,4,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,NO,"",undefined,7,¿Todas tienen volcanes?,¿Todas tienen volcanes?,"","","","","","","","","","",2026,Entre todas las islas solo,una tiene volcanes. ,"","","",5,"","",1751038881863,1751038879838,"","","",""
