Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,index_value,key_pressed_Frame_3,key_pressed_sentence,question_column_number,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2B_value,sentenceA_line2_value,trial_end,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1374110,1,1,block_1,1,instructions,1,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1374110,1,3,block_1,1,prac_task,2,8,SI,"","","","","","","","","","","","","","",1,"","",1,"","",9,1,"","",undefined,7,"","","","","","","","","","","","",2261,El niño no quería,quedarse en casa.,"","","",5,"","",1751271247302,1751271245042,"","","",""
1374110,1,1,block_1,1,end_practice,3,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1374110,1,12,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2384,Para recorrer el mundo,necesitarás ayuda. ,"","","",5,"","",1751271298575,1751271296192,"","","",""
1374110,1,1,block_1,1,outro,5,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1374110,2,2,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2942,Espero que este verano,sea algo más fresco.,"","","",5,"","",1751271254175,1751271251234,"","","",""
1374110,2,8,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2710,No se ha elegido dónde,hacer la obra todavía. ,"","","",5,"","",1751271301582,1751271298872,"","","",""
1374110,3,1,block_1,1,prac_task,2,8,NO,"","","","","","","","","","","","","","",1,"","",0,"","",9,1,SI,"",undefined,7,"","","","","","","","","","","","",2801,No hemos llegado todavía,al parque de atracciones.,"","","",5,"","",1751271257270,1751271254469,"","","",""
1374110,3,61,block_1,1,experimentaltask_B,4,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",2122,Nadie se esperaba los,regalos de este año. ,"","","",5,"","",1751271303999,1751271301878,"","","",""
1374110,4,4,block_1,1,prac_task,2,8,"","","","","","","","","","","","","","","",1,"","",-1,"","",9,0,"","",undefined,7,"","","","","","","","","","","","",4829,Cuando suene la sirena,saldrán por la puerta.,"","","",5,"","",1751271264575,1751271259746,"","","",""
