"","sub","item","word_num","wordID","FFD","SFD","GD","TVT","nfixAll","nfix1","nfix2","skip_first_pass","skip_total","freq","zipf","word_length","Tracker","corpus"
"1",2,1,1,"Mrs.",NA,NA,NA,NA,0,0,0,1,1,19098,4.98,4,"Webcam","Frequency sentences"
"2",2,1,2,"Clark",NA,NA,NA,NA,0,0,0,1,1,1569,3.89,5,"Webcam","Frequency sentences"
"3",2,1,3,"is",NA,NA,NA,NA,0,0,0,1,1,3047923,7.18,2,"Webcam","Frequency sentences"
"4",2,1,4,"a",NA,NA,NA,NA,0,0,0,1,1,4809384,7.38,1,"Webcam","Frequency sentences"
"8",2,1,5,"social",NA,NA,NA,544,1,0,1,1,0,18768,4.97,6,"Webcam","Frequency sentences"
"5",2,1,6,"person",NA,NA,NA,NA,0,0,0,1,1,44179,5.34,6,"Webcam","Frequency sentences"
"6",2,1,7,"who",NA,NA,NA,NA,0,0,0,1,1,423246,6.32,3,"Webcam","Frequency sentences"
"9",2,1,8,"gets",479.90014648437,479.90014648437,479.90014648437,1007.90014648437,2,1,1,0,0,43974,5.34,4,"Webcam","Frequency sentences"
"10",2,1,9,"along",224,224,224,224,1,1,0,0,0,42924,5.33,5,"Webcam","Frequency sentences"
"11",2,1,10,"with",112,112,112,112,1,1,0,0,0,1141430,6.75,4,"Webcam","Frequency sentences"
"7",2,1,11,"everybody.",NA,NA,NA,NA,0,0,0,1,1,47551,5.37,10,"Webcam","Frequency sentences"
"12",2,2,1,"The",NA,NA,NA,NA,0,0,0,1,1,9418422,7.67,3,"Webcam","Frequency sentences"
"21",2,2,2,"house",NA,NA,NA,NA,0,0,0,1,1,135288,5.83,5,"Webcam","Frequency sentences"
"31",2,2,3,"was",NA,NA,NA,NA,0,0,0,1,1,1509144,6.87,3,"Webcam","Frequency sentences"
"41",2,2,4,"recognisable",NA,NA,NA,NA,0,0,0,1,1,664,3.52,12,"Webcam","Frequency sentences"
"51",2,2,5,"by",NA,NA,NA,NA,0,0,0,1,1,381382,6.28,2,"Webcam","Frequency sentences"
"61",2,2,6,"its",NA,NA,NA,NA,0,0,0,1,1,119480,5.77,3,"Webcam","Frequency sentences"
"81",2,2,7,"green",640.099853515625,640.099853515625,640.099853515625,1568.09985351562,4,1,3,0,0,33158,5.22,5,"Webcam","Frequency sentences"
"91",2,2,8,"fence",271.89990234375,271.89990234375,271.89990234375,543.89990234375,2,1,1,0,0,4074,4.31,5,"Webcam","Frequency sentences"
"71",2,2,9,"and",NA,NA,NA,NA,0,0,0,1,1,4255508,7.32,3,"Webcam","Frequency sentences"
"101",2,2,10,"big",895.90014648438,895.90014648438,895.90014648438,895.90014648438,1,1,0,0,0,176888,5.94,3,"Webcam","Frequency sentences"
"111",2,2,11,"windows.",544.09985351562,544.09985351562,544.09985351562,544.09985351562,1,1,0,0,0,8694,4.64,8,"Webcam","Frequency sentences"
"13",2,3,1,"Building",NA,NA,NA,NA,0,0,0,1,1,34959,5.24,8,"Webcam","Frequency sentences"
"22",2,3,2,"a",NA,NA,NA,NA,0,0,0,1,1,4809384,7.38,1,"Webcam","Frequency sentences"
"32",2,3,3,"house",NA,NA,NA,NA,0,0,0,1,1,135288,5.83,5,"Webcam","Frequency sentences"
"72",2,3,4,"requires",NA,NA,NA,400,1,0,1,1,0,2460,4.09,8,"Webcam","Frequency sentences"
"42",2,3,5,"a",NA,NA,NA,NA,0,0,0,1,1,4809384,7.38,1,"Webcam","Frequency sentences"
"82",2,3,6,"massive",160.10009765625,160.10009765625,160.10009765625,1728.30029296875,3,1,2,0,0,21948,5.04,7,"Webcam","Frequency sentences"
"52",2,3,7,"amount",NA,NA,NA,NA,0,0,0,1,1,23624,5.07,6,"Webcam","Frequency sentences"
"62",2,3,8,"of",NA,NA,NA,NA,0,0,0,1,1,3779783,7.27,2,"Webcam","Frequency sentences"
"92",2,3,9,"money.",496,496,496,496,1,1,0,0,0,138993,5.84,6,"Webcam","Frequency sentences"
"14",2,4,1,"The",NA,NA,NA,NA,0,0,0,1,1,9418422,7.67,3,"Webcam","Frequency sentences"
"93",2,4,2,"company's",800.000000000005,800.000000000005,800.000000000005,800.000000000005,1,1,0,0,0,19,2,9,"Webcam","Frequency sentences"
"23",2,4,3,"updated",NA,NA,NA,NA,0,0,0,1,1,756,3.57,7,"Webcam","Frequency sentences"
