"","Rec_Session_Id","Trial_Nr","Trial_Id","Task_Name","Condition_Id","Frequency","question_answer","trial_end","trial_number","trial_start","list","question_accuracy","sub"
"1",1238804,1,39,"sentence_DC",2,NA,0,1739457625840,66,NA,"A",1,10
"2",1238804,1,53,"sentence",2,"low",1,1739456688690,6,1739456685055,"A",1,10
"3",1238804,2,38,"sentence_DC",2,NA,0,1739457630792,67,NA,"A",1,10
"4",1238804,2,39,"sentence",2,"low",1,1739456698449,7,1739456694946,"A",1,10
"5",1238804,3,28,"sentence_DC",2,NA,1,1739457634200,68,NA,"A",1,10
"6",1238804,3,42,"sentence",2,"low",1,1739456703762,8,1739456700995,"A",1,10
"7",1238804,4,2,"sentence_DC",1,NA,1,1739457637528,69,NA,"A",1,10
"8",1238804,4,51,"sentence",2,"low",1,1739456710737,9,1739456708351,"A",1,10
"9",1238804,5,30,"sentence",1,"high",0,1739456720217,10,1739456715375,"A",1,10
"10",1238804,5,22,"sentence_DC",2,NA,1,1739457640168,70,NA,"A",1,10
"11",1238804,6,28,"sentence",1,"high",0,1739456751307,11,1739456748071,"A",1,10
"12",1238804,6,12,"sentence_DC",1,NA,0,1739457663128,71,NA,"A",1,10
"13",1238804,7,19,"sentence_DC",1,NA,0,1739457665824,72,NA,"A",1,10
"14",1238804,7,49,"sentence",2,"low",0,1739456756274,12,1739456753762,"A",1,10
"15",1238804,8,19,"sentence",1,"high",1,1739456760378,13,1739456758428,"A",1,10
"16",1238804,8,31,"sentence_DC",2,NA,1,1739457668296,73,NA,"A",1,10
"17",1238804,9,33,"sentence_DC",2,NA,1,1739457670944,74,NA,"A",1,10
"18",1238804,9,21,"sentence",1,"high",0,1739456764513,14,1739456762459,"A",1,10
"19",1238804,10,1,"sentence_DC",1,NA,0,1739457673416,75,NA,"A",1,10
"20",1238804,10,2,"sentence",1,"high",0,1739456768930,15,1739456766628,"A",1,10
"21",1238804,11,25,"sentence_DC",2,NA,0,1739457824168,76,NA,"A",1,10
"22",1238804,11,17,"sentence",1,"high",0,1739456853049,16,1739456850826,"A",1,10
"23",1238804,12,32,"sentence",2,"low",0,1739456857665,17,1739456855570,"A",1,10
"24",1238804,12,21,"sentence_DC",2,NA,0,1739457827072,77,NA,"A",1,10
"25",1238804,13,30,"sentence_DC",2,NA,1,1739457829663,78,NA,"A",1,10
"26",1238804,13,34,"sentence",2,"low",1,1739456861553,18,1739456859818,"A",1,10
"27",1238804,14,37,"sentence_DC",2,NA,1,1739457832169,79,NA,"A",1,10
"28",1238804,14,37,"sentence",2,"low",0,1739456866329,19,1739456863675,"A",1,10
"29",1238804,15,17,"sentence_DC",1,NA,0,1739457834783,80,NA,"A",1,10
"30",1238804,15,18,"sentence",1,"high",1,1739456871562,20,1739456868613,"A",1,10
"31",1238804,16,36,"sentence_DC",2,NA,1,1739457859455,81,NA,"A",1,10
"32",1238804,16,7,"sentence",1,"high",1,1739456898233,21,1739456895467,"A",1,10
"33",1238804,17,40,"sentence",2,"low",1,1739456902641,22,1739456900538,"A",1,10
"34",1238804,17,9,"sentence_DC",1,NA,0,1739457862279,82,NA,"A",1,10
"35",1238804,18,10,"sentence",1,"high",0,1739456906953,23,1739456905194,"A",1,10
"36",1238804,18,20,"sentence_DC",1,NA,0,1739457864991,83,NA,"A",1,10
"37",1238804,19,34,"sentence_DC",2,NA,1,1739457867935,84,NA,"A",1,10
"38",1238804,19,38,"sentence",2,"low",1,1739456913129,24,1739456910606,"A",1,10
"39",1238804,20,29,"sentence",1,"high",0,1739456917289,25,1739456915296,"A",1,10
"40",1238804,20,27,"sentence_DC",2,NA,0,1739457870831,85,NA,"A",1,10
"41",1238804,21,48,"sentence",2,"low",1,1739456940721,26,1739456937608,"A",1,10
"42",1238804,21,18,"sentence_DC",1,NA,1,1739457891351,86,NA,"A",1,10
"43",1238804,22,26,"sentence",1,"high",0,1739456945923,27,1739456943355,"A",1,10
"44",1238804,22,5,"sentence_DC",1,NA,1,1739457893879,87,NA,"A",1,10
"45",1238804,23,23,"sentence_DC",2,NA,1,1739457896271,88,NA,"A",1,10
"46",1238804,23,33,"sentence",2,"low",1,1739456951081,28,1739456948575,"A",1,10
"47",1238804,24,58,"sentence",2,"low",0,1739456956473,29,1739456953386,"A",1,10
