Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1238804,1,1,block_1,1,wait,1,"","","",1,"","","","","","","","","","","","","","","",""
1238804,1,39,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1739457625840,66,"","",""
1238804,1,53,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456688690,6,"",1739456685055,""
1238804,1,1,block_1,1,imported_instructions,2,"","","",1,"","","","","",5.841121495327103,"","","",1,60,1739456655818,5,"",1739456651171,""
1238804,2,38,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1739457630792,67,"","",""
1238804,2,39,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456698449,7,"",1739456694946,""
1238804,3,28,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457634200,68,"","",""
1238804,3,42,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456703762,8,"",1739456700995,""
1238804,4,2,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1739457637528,69,"","",""
1238804,4,51,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456710737,9,"",1739456708351,""
1238804,5,30,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456720217,10,"",1739456715375,""
1238804,5,22,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457640168,70,"","",""
1238804,6,28,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456751307,11,"",1739456748071,""
1238804,6,12,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739457663128,71,"","",""
1238804,7,19,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739457665824,72,"","",""
1238804,7,49,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1739456756274,12,"",1739456753762,""
1238804,8,19,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1739456760378,13,"",1739456758428,""
1238804,8,31,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457668296,73,"","",""
1238804,9,33,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457670944,74,"","",""
1238804,9,21,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456764513,14,"",1739456762459,""
1238804,10,1,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739457673416,75,"","",""
1238804,10,2,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456768930,15,"",1739456766628,""
1238804,11,25,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1739457824168,76,"","",""
1238804,11,17,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456853049,16,"",1739456850826,""
1238804,12,32,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1739456857665,17,"",1739456855570,""
1238804,12,21,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1739457827072,77,"","",""
1238804,13,30,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457829663,78,"","",""
1238804,13,34,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456861553,18,"",1739456859818,""
1238804,14,37,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457832169,79,"","",""
1238804,14,37,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1739456866329,19,"",1739456863675,""
1238804,15,17,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739457834783,80,"","",""
1238804,15,18,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1739456871562,20,"",1739456868613,""
1238804,16,36,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457859455,81,"","",""
1238804,16,7,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1739456898233,21,"",1739456895467,""
1238804,17,40,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456902641,22,"",1739456900538,""
1238804,17,9,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739457862279,82,"","",""
1238804,18,10,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456906953,23,"",1739456905194,""
1238804,18,20,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739457864991,83,"","",""
1238804,19,34,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457867935,84,"","",""
1238804,19,38,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456913129,24,"",1739456910606,""
1238804,20,29,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456917289,25,"",1739456915296,""
1238804,20,27,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1739457870831,85,"","",""
1238804,21,48,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456940721,26,"",1739456937608,""
1238804,21,18,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1739457891351,86,"","",""
1238804,22,26,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456945923,27,"",1739456943355,""
1238804,22,5,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1739457893879,87,"","",""
1238804,23,23,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457896271,88,"","",""
1238804,23,33,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739456951081,28,"",1739456948575,""
1238804,24,58,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1739456956473,29,"",1739456953386,""
1238804,24,14,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1739457898447,89,"","",""
1238804,25,40,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457900592,90,"","",""
1238804,25,11,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1739456961585,30,"",1739456958685,""
1238804,26,6,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739457995927,91,"","",""
1238804,26,50,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739457032873,31,"",1739457029878,""
1238804,27,46,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1739457037713,32,"",1739457035499,""
1238804,27,26,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1739457998721,92,"","",""
1238804,28,11,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739458001359,93,"","",""
1238804,28,52,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1739457043785,33,"",1739457039929,""
1238804,29,36,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1739457048553,34,"",1739457046532,""
1238804,29,8,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1739458004063,94,"","",""
1238804,30,31,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1739457052377,35,"",1739457050612,""
1238804,30,29,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1739458006607,95,"","",""
