Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1306322,1,1,block_1,1,wait,1,"","","",1,"","","","","","","","","","","","","","","",""
1306322,1,21,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1745421208726,66,"","",""
1306322,1,23,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1745420339829,6,"",1745420331990,""
1306322,1,1,block_1,1,imported_instructions,2,"","","",1,"","","","","",5.841121495327103,"","","",1,60,1745420308464,5,"",1745420302176,""
1306322,2,31,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",1,"",1745421212109,67,"","",""
1306322,2,26,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1745420347246,7,"",1745420342727,""
1306322,3,17,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1745421214859,68,"","",""
1306322,3,57,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1745420355861,8,"",1745420350344,""
1306322,4,1,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",0,"",1745421217789,69,"","",""
1306322,4,19,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1745420363085,9,"",1745420359871,""
1306322,5,4,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1745421220317,70,"","",""
1306322,5,20,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",1,"",1745420372829,10,"",1745420369651,""
1306322,6,35,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",1,"",1745420398693,11,"",1745420395301,""
1306322,6,35,block_1,1,sentence_DC,4,"","","",2,"","","","","","",invalid,"","",0,"",1745421239133,71,"","",""
1306322,7,45,block_1,1,sentence,3,"","","",2,"","",low,"","","","","","",0,"",1745420408269,12,"",1745420401743,""
1306322,7,7,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1745421243261,72,"","",""
1306322,8,14,block_1,1,sentence_DC,4,"","","",1,"","","","","","",valid,"","",1,"",1745421246205,73,"","",""
1306322,8,2,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1745420416877,13,"",1745420411591,""
1306322,9,8,block_1,1,sentence,3,"","","",1,"","",high,"","","","","","",0,"",1745420424085,14,"",1745420419609,""
