Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1346722,1,33,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352415888,46,"",1748352412773,""
1346722,1,17,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748352021720,6,"",1748352020378,""
1346722,1,1,block_1,1,imported_instructions,2,"","","",1,"","","","","",5.841121495327103,"","","",1,60,1748351994208,5,"",1748351990082,""
1346722,1,1,block_1,1,wait,1,"","","",1,"","","","","","","","","","","","","","","",""
1346722,2,13,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748352422208,47,"",1748352418403,""
1346722,2,26,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748352025944,7,"",1748352024081,""
1346722,3,58,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748352429288,48,"",1748352424148,""
1346722,3,25,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",0,"",1748352030232,8,"",1748352028027,""
1346722,4,40,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748352033720,9,"",1748352032220,""
1346722,4,52,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748352437008,49,"",1748352431270,""
1346722,5,22,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748352444016,50,"",1748352439433,""
1346722,5,6,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748352037616,10,"",1748352035948,""
1346722,6,25,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748352467072,51,"",1748352462826,""
1346722,6,11,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748352057408,11,"",1748352056220,""
