Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1353564,1,33,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748956844807,46,"",1748956842204,""
1353564,1,30,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956470807,6,"",1748956469085,""
1353564,1,1,block_1,1,imported_instructions,2,"","","",1,"","","","","",5.841121495327103,"","","",1,60,1748956440792,5,"",1748956436098,""
1353564,1,1,block_1,1,wait,1,"","","",1,"","","","","","","","","","","","","","","",""
1353564,2,30,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748956852927,47,"",1748956847164,""
1353564,2,31,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956474679,7,"",1748956473315,""
1353564,3,38,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748956858399,48,"",1748956855443,""
1353564,3,24,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956478727,8,"",1748956477012,""
1353564,4,26,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956482967,9,"",1748956481648,""
1353564,4,43,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748956865279,49,"",1748956860588,""
1353564,5,15,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748956872239,50,"",1748956868237,""
1353564,5,40,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956486359,10,"",1748956484999,""
1353564,6,26,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748956894288,51,"",1748956890485,""
1353564,6,23,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956506271,11,"",1748956504617,""
1353564,7,9,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748956510487,12,"",1748956508225,""
1353564,7,56,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748956900295,52,"",1748956896739,""
1353564,8,41,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748956906855,53,"",1748956901933,""
1353564,8,19,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748956515399,13,"",1748956512992,""
1353564,9,32,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956519231,14,"",1748956517581,""
1353564,9,46,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748956911887,54,"",1748956909187,""
1353564,10,36,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956525607,15,"",1748956523896,""
1353564,10,36,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748956916423,55,"",1748956914356,""
1353564,11,34,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",1,"",1748956572407,16,"",1748956570040,""
1353564,11,9,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748956944719,56,"",1748956939592,""
1353564,12,8,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748956950161,57,"",1748956946889,""
1353564,12,29,block_1,1,sentence_DC,3,"","","",2,"","","","","","",invalid,"","",0,"",1748956576199,17,"",1748956574555,""
1353564,13,3,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748956579911,18,"",1748956578241,""
1353564,13,4,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748956957287,58,"",1748956952344,""
1353564,14,11,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748956583743,19,"",1748956582040,""
1353564,14,23,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748956962215,59,"",1748956959701,""
1353564,15,42,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748956969607,60,"",1748956965761,""
1353564,15,13,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",0,"",1748956588607,20,"",1748956586064,""
1353564,16,14,block_1,1,sentence_DC,3,"","","",1,"","","","","","",valid,"","",1,"",1748956608535,21,"",1748956606936,""
1353564,16,24,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748957185743,61,"",1748957181840,""
