"","Always_Fullscreen","Browser_Spec","BrowserVersion_Spec","Crowdsourcing_SubjId","End_Time","End_Time_Local","Exp_Subject_Id","FaceDetectionRate","Is_Fullscreen","Rec_Session_Id","Screen_Height_In_Pixels","Screen_Refresh_Rate","Screen_Width_In_Pixels","Start_Time","Start_Time_Local","System_Spec","TimeMeasure_Mean","TimeMeasure_Std","Window_Height_In_Pixels","Window_Width_In_Pixels","list"
"1",TRUE,"Chrome","126.0.0.0 Safari/537.36",NA,2024-07-19 14:09:46.34,2024-07-19 14:09:46,953681,20.504408447691,TRUE,1113789,720,60.0606016881895,1280,2024-07-19 13:40:54.407,2024-07-19 13:40:51,"Windows-PC",12.1275964391691,44.0543066990424,720,1280,"A"
"2",TRUE,"Chrome","126.0.0.0 Safari/537.36",NA,2024-07-19 15:08:22.752,2024-07-19 15:08:22,953748,14.7470874523026,TRUE,1113869,768,59.8802395209587,1366,2024-07-19 14:33:22.954,2024-07-19 14:33:19,"Windows-PC",100.759803921569,695.837044361569,768,1366,"A"
"3",TRUE,"Chrome","126.0.0.0 Safari/537.36 Edg/126.0.0.0",NA,NA,NA,953899,8.49040584174296,TRUE,1114039,720,59.8802395209587,1280,2024-07-19 15:21:33.632,2024-07-19 15:21:30,"Windows-PC",NA,NA,720,1280,"A"
"4",TRUE,"Chrome","126.0.0.0 Safari/537.36",NA,NA,NA,953918,27.3298715513845,TRUE,1114069,1080,59.8802395209579,1920,2024-07-19 15:46:04.024,2024-07-19 15:46:01,"Windows-PC",NA,NA,1080,1920,"A"
"5",TRUE,"Chrome","126.0.0.0 Safari/537.36",NA,NA,NA,954197,25.9403372243839,TRUE,1114434,864,59.8802395209587,1536,2024-07-20 09:01:36.177,2024-07-20 09:01:33,"Windows-PC",NA,NA,864,1536,"A"
"6",TRUE,"Chrome","126.0.0.0 Safari/537.36","6658c518bb57e6360147f8e8",NA,NA,954238,36.8867576507582,TRUE,1114484,1067,163.934426229511,1707,2024-07-20 12:01:10.448,2024-07-20 12:00:59,"Windows-PC",NA,NA,1067,1707,"A"
"7",TRUE,"Chrome","126.0.0.0 Safari/537.36","66557f0971ec7621de8bb6ee",NA,NA,954262,17.4276751477732,TRUE,1114510,864,59.880239520962,1536,2024-07-20 13:04:40.434,2024-07-20 13:04:24,"Windows-PC",NA,NA,864,1536,"A"
"8",TRUE,"Firefox","128",NA,NA,NA,956251,6.09756097560976,TRUE,1116684,1080,58.7544065804795,1920,2024-07-25 11:29:56.905,2024-07-25 11:29:49,"Linux-PC",NA,NA,1080,1920,"B"
"9",TRUE,"Chrome","127.0.0.0 Safari/537.36",NA,NA,NA,956294,57.40528128551,TRUE,1116728,1440,142.857142857143,2560,2024-07-25 13:09:08.113,2024-07-25 13:09:05,"Windows-PC",NA,NA,1440,2560,"B"
"10",TRUE,"Chrome","126.0.0.0 Safari/537.36",NA,NA,NA,956295,27.7392510402219,TRUE,1116729,800,59.8802395209587,1281,2024-07-25 13:09:44.154,2024-07-25 13:09:41,"Windows-PC",NA,NA,800,1280,"B"
