"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","corpus","freq","zipf","word_length"
"1",953681,59,"low",1,"After","No",432,432,432,432,"Frequency corpus",175461,5.94,5
"2",953681,59,"low",7,"student","No",175.80004882812,NA,447.19995117186,447.19995117186,"Frequency corpus",8117,4.61,7
"3",953681,20,"high",2,"teacher","No",95.900146484375,95.900146484375,95.900146484375,95.900146484375,"Frequency corpus",9542,4.68,7
"4",953681,20,"high",5,"glass","Yes",368.199951171875,368.199951171875,368.199951171875,368.199951171875,"Frequency corpus",16716,4.92,5
"5",953681,20,"high",7,"demonstrate","No",112,112,112,112,"Frequency corpus",2480,4.09,11
"6",953681,24,"high",2,"professor","No",703.800048828125,703.800048828125,703.800048828125,703.800048828125,"Frequency corpus",6447,4.51,9
"7",953681,24,"high",6,"picture","Yes",463.80004882812,463.80004882812,463.80004882812,463.80004882812,"Frequency corpus",26944,5.13,7
"8",953681,7,"high",4,"critics","No",752,752,752,752,"Frequency corpus",3094,4.19,7
"9",953681,11,"high",2,"little","No",528.199951171875,NA,928.300048828125,928.300048828125,"Frequency corpus",217970,6.03,6
"10",953681,26,"high",3,"reported","No",NA,NA,NA,159.800048828125,"Frequency corpus",4847,4.38,8
"11",953681,26,"high",4,"feeling","No",208.10009765625,208.10009765625,208.10009765625,384.199951171875,"Frequency corpus",38817,5.28,7
"12",953681,26,"high",6,"strange","No",367.899902343745,367.899902343745,367.899902343745,367.899902343745,"Frequency corpus",13577,4.83,7
"13",953681,26,"high",7,"sensation","No",95.59985351562,95.59985351562,95.59985351562,95.59985351562,"Frequency corpus",1593,3.9,9
"14",953681,56,"low",2,"dog","No",127.800048828125,127.800048828125,127.800048828125,127.800048828125,"Frequency corpus",29680,5.17,3
"15",953681,56,"low",3,"barked","No",271.900146484375,NA,560.000244140625,560.000244140625,"Frequency corpus",101,2.7,6
"16",953681,56,"low",6,"crow","Yes",96,96,96,96,"Frequency corpus",890,3.65,4
"17",953681,10,"high",2,"many","No",192.10009765625,192.10009765625,192.10009765625,192.10009765625,"Frequency corpus",149674,5.87,4
