"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","corpus"
"1",953681,20,"high",5,"glass","Yes",368.199951171875,368.199951171875,368.199951171875,368.199951171875,"Frequency corpus"
"2",953681,24,"high",6,"picture","Yes",463.80004882812,463.80004882812,463.80004882812,463.80004882812,"Frequency corpus"
"3",953681,56,"low",6,"crow","Yes",127.80004882812,127.80004882812,127.80004882812,127.80004882812,"Frequency corpus"
"4",953681,10,"high",5,"quiet","Yes",96,96,96,96,"Frequency corpus"
"5",953681,36,"low",6,"sincere","Yes",NA,NA,NA,400.100097656255,"Frequency corpus"
"6",953681,42,"low",4,"prompt","Yes",400,400,400,400,"Frequency corpus"
"7",953681,31,"low",4,"trendy","Yes",NA,NA,NA,175.899902343741,"Frequency corpus"
"8",953681,12,"high",5,"bright","Yes",336.199951171875,336.199951171875,336.199951171875,496.199951171875,"Frequency corpus"
"9",953681,34,"low",4,"neat","Yes",NA,NA,NA,431.7001953125,"Frequency corpus"
"10",953681,60,"low",8,"porch","Yes",NA,NA,NA,96.1000976563009,"Frequency corpus"
"11",953681,50,"low",5,"maize","Yes",175.900146484375,175.900146484375,175.900146484375,175.900146484375,"Frequency corpus"
"12",953681,29,"high",5,"history","Yes",527.900146484375,NA,735.900146484375,735.900146484375,"Frequency corpus"
"13",953681,27,"high",10,"table","Yes",176.19995117187,NA,304.09985351561,304.09985351561,"Frequency corpus"
"14",953681,23,"high",7,"system","Yes",96.10009765625,96.10009765625,96.10009765625,96.10009765625,"Frequency corpus"
"15",953681,55,"low",7,"purse","Yes",304,304,304,304,"Frequency corpus"
"16",953681,54,"low",7,"paradox","Yes",303.80004882813,303.80004882813,303.80004882813,303.80004882813,"Frequency corpus"
"17",953681,1,"high",5,"social","Yes",607.90014648438,NA,879.90014648438,879.90014648438,"Frequency corpus"
"18",953681,16,"high",5,"island","Yes",128.09985351562,128.09985351562,128.09985351562,128.09985351562,"Frequency corpus"
"19",953681,37,"low",6,"prudent","Yes",NA,NA,NA,288.10009765625,"Frequency corpus"
"20",953681,25,"high",9,"oil","Yes",NA,NA,NA,112,"Frequency corpus"
