Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1116766,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",5.841121495327103,"","","","",1,"",60,"",1721916033323,6,"",1721916026723,""
1116766,1,17,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916134002,7,"",1721916106686,""
1116766,2,26,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916142109,8,"",1721916137602,""
1116766,3,42,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916149888,9,"",1721916145225,""
1116766,4,46,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1721916160360,10,"",1721916153523,""
1116766,5,36,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916180201,11,"",1721916163444,""
1116766,6,59,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916252244,12,"",1721916247599,""
1116766,7,1,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1721916262045,13,"",1721916257860,""
1116766,8,49,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1721916270164,14,"",1721916264914,""
1116766,9,34,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916283155,15,"",1721916277730,""
1116766,10,19,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1721916291958,16,"",1721916287683,""
1116766,11,32,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1721916333001,17,"",1721916329729,""
1116766,12,4,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916341410,18,"",1721916335939,""
1116766,13,35,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916351677,19,"",1721916347085,""
1116766,14,44,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916365612,20,"",1721916360642,""
1116766,15,3,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1721916370876,21,"",1721916367874,""
1116766,16,54,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1721916446730,22,"",1721916433670,""
1116766,17,5,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916455059,23,"",1721916451348,""
1116766,18,33,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916465300,24,"",1721916461907,""
1116766,19,25,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1721916473138,25,"",1721916469265,""
1116766,20,9,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916482953,26,"",1721916477862,""
1116766,21,11,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916541804,27,"",1721916537444,""
1116766,22,18,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916552428,28,"",1721916545358,""
1116766,23,56,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916560354,29,"",1721916555785,""
1116766,24,20,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1721916568248,30,"",1721916563208,""
1116766,25,12,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916576244,31,"",1721916571905,""
1116766,26,48,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916628993,32,"",1721916623573,""
1116766,27,39,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916641346,33,"",1721916635249,""
1116766,28,30,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916654582,34,"",1721916647938,""
1116766,29,24,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916682367,35,"",1721916677324,""
1116766,30,41,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1721916729147,36,"",1721916724266,""
1116766,31,10,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1721916770708,37,"",1721916765595,""
