Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1249897,1,18,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1740945254442,67,"",1740945252173,""
1249897,1,19,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1740944340347,7,"",1740944337410,""
1249897,1,1,block_1,1,Questions,4,"","","",1,"","",60,"","","","","15.6""","","","","","","","","","","","","","",""
1249897,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",4.4859813084112155,"","","","",1,"",60,"",1740944293220,6,"",1740944289540,""
1249897,2,6,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1740945261962,68,"",1740945260931,""
1249897,2,30,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1740944347154,8,"",1740944344138,""
1249897,3,40,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1740944352978,9,"",1740944349766,""
1249897,3,5,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1740945269659,69,"",1740945268377,""
1249897,4,31,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1740945277774,70,"",1740945276634,""
1249897,4,21,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1740944367042,10,"",1740944357225,""
1249897,5,17,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1740944374001,11,"",1740944369564,""
1249897,5,27,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1740945285099,71,"",1740945283860,""
1249897,6,2,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1740945329954,72,"",1740945324039,""
1249897,6,12,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1740944432867,12,"",1740944423347,""
1249897,7,11,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1740945342130,73,"",1740945333064,""
1249897,7,27,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1740944437146,13,"",1740944435070,""
1249897,8,56,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1740944441243,14,"",1740944439232,""
1249897,8,25,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1740945352315,74,"",1740945348984,""
1249897,9,10,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1740944445450,15,"",1740944443395,""
1249897,9,15,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1740945356329,75,"",1740945354661,""
1249897,10,31,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1740944460219,16,"",1740944454702,""
1249897,10,32,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1740945360498,76,"",1740945359107,""
