Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1252247,1,1,block_1,1,Questions,4,"","","",1,"","",60,"","","","",13,"","","","","","","","","","","","","",""
1252247,1,18,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741096765760,7,"",1741096763484,""
1252247,1,60,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741097116846,47,"",1741097113449,""
1252247,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",5.841121495327104,"","","","",1,"",60,"",1741096729545,6,"",1741096725050,""
1252247,2,24,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741096773577,8,"",1741096772148,""
1252247,2,2,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741097121662,48,"",1741097118783,""
1252247,3,50,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741097126495,49,"",1741097123666,""
1252247,3,31,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741096778277,9,"",1741096776783,""
1252247,4,12,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741097132512,50,"",1741097129484,""
1252247,4,2,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741096781826,10,"",1741096779831,""
1252247,5,38,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741096784810,11,"",1741096783330,""
1252247,5,29,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741097144277,51,"",1741097140432,""
1252247,6,48,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741097173293,52,"",1741097169880,""
1252247,6,7,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741096814642,12,"",1741096813296,""
1252247,7,43,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741097178842,53,"",1741097175647,""
1252247,7,32,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741096818025,13,"",1741096816246,""
1252247,8,52,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741097185959,54,"",1741097183013,""
1252247,8,15,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741096822208,14,"",1741096820579,""
1252247,9,33,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741097192425,55,"",1741097190229,""
1252247,9,21,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741096827641,15,"",1741096826462,""
1252247,10,30,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741097197124,56,"",1741097194679,""
1252247,10,30,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741096831275,16,"",1741096829978,""
1252247,11,3,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741096858457,17,"",1741096856911,""
1252247,11,44,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741097227124,57,"",1741097224512,""
1252247,12,25,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741096862356,18,"",1741096860294,""
1252247,12,6,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741097232174,58,"",1741097229278,""
1252247,13,1,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741096865690,19,"",1741096864294,""
1252247,13,32,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741097238607,59,"",1741097235027,""
1252247,14,34,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741097242723,60,"",1741097240343,""
