Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1252311,1,51,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741099962182,47,"",1741099959688,""
1252311,1,10,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099593366,7,"",1741099590864,""
1252311,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",3.9252336448598135,"","","","",1,"",60,"",1741099559451,6,"",1741099555334,""
1252311,1,1,block_1,1,Questions,4,"","","",1,"","",60,"","","","",24,"","","","","","","","","","","","","",""
1252311,2,57,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741099967883,48,"",1741099964567,""
1252311,2,25,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099596934,8,"",1741099595525,""
1252311,3,37,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741099973650,49,"",1741099971231,""
1252311,3,7,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099600305,9,"",1741099599130,""
1252311,4,34,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099607709,10,"",1741099602020,""
1252311,4,2,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099979192,50,"",1741099976225,""
1252311,5,15,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741099983792,51,"",1741099980853,""
1252311,5,17,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099611514,11,"",1741099610020,""
1252311,6,60,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100011987,52,"",1741100009416,""
1252311,6,8,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099638146,12,"",1741099637063,""
1252311,7,11,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099641948,13,"",1741099640289,""
1252311,7,47,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741100022663,53,"",1741100013773,""
1252311,8,20,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100027327,54,"",1741100024632,""
1252311,8,5,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099648606,14,"",1741099647169,""
1252311,9,3,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099651218,15,"",1741099649925,""
1252311,9,56,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100033641,55,"",1741100031229,""
1252311,10,20,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099654233,16,"",1741099653064,""
1252311,10,14,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100036657,56,"",1741100034802,""
1252311,11,16,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099681925,17,"",1741099679990,""
1252311,11,36,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100066152,57,"",1741100062600,""
1252311,12,23,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100070007,58,"",1741100068080,""
1252311,12,1,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099689622,18,"",1741099684267,""
1252311,13,31,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099694356,19,"",1741099692986,""
1252311,13,21,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100075244,59,"",1741100072704,""
1252311,14,4,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099697239,20,"",1741099695962,""
1252311,14,25,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100080160,60,"",1741100077064,""
1252311,15,41,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100089824,61,"",1741100083009,""
1252311,15,36,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099700222,21,"",1741099698819,""
1252311,16,22,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099726732,22,"",1741099725608,""
1252311,16,35,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100127835,62,"",1741100122835,""
1252311,17,18,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099730568,23,"",1741099729394,""
1252311,17,6,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100132249,63,"",1741100129110,""
1252311,18,23,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099733908,24,"",1741099732576,""
1252311,18,50,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100136646,64,"",1741100134271,""
1252311,19,40,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099736188,25,"",1741099735071,""
1252311,19,18,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100142265,65,"",1741100139132,""
1252311,20,48,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100147139,66,"",1741100144444,""
1252311,20,13,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099738688,26,"",1741099737651,""
1252311,21,12,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100175125,67,"",1741100172605,""
1252311,21,38,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099766095,27,"",1741099764676,""
1252311,22,9,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100179739,68,"",1741100177237,""
1252311,22,32,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099769439,28,"",1741099769258,""
1252311,23,43,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741100184411,69,"",1741100181694,""
1252311,23,26,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099780950,29,"",1741099779862,""
1252311,24,33,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099785074,30,"",1741099783033,""
1252311,24,59,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100190112,70,"",1741100186853,""
1252311,25,26,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100196594,71,"",1741100191567,""
1252311,25,9,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099787793,31,"",1741099786792,""
1252311,26,39,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099815134,32,"",1741099813935,""
1252311,26,42,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100224334,72,"",1741100221682,""
1252311,27,39,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100229568,73,"",1741100225838,""
1252311,27,19,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099819074,33,"",1741099817944,""
1252311,28,21,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099821972,34,"",1741099820959,""
1252311,28,28,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100234126,74,"",1741100231402,""
1252311,29,24,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100238403,75,"",1741100235714,""
1252311,29,28,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099825734,35,"",1741099824576,""
1252311,30,14,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099828357,36,"",1741099827197,""
1252311,30,1,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100242212,76,"",1741100240020,""
1252311,31,15,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099854597,37,"",1741099853171,""
1252311,31,17,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100284052,77,"",1741100280475,""
1252311,32,6,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099857567,38,"",1741099856612,""
1252311,32,4,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100288551,78,"",1741100285721,""
1252311,33,12,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099860520,39,"",1741099859672,""
1252311,33,32,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741100292498,79,"",1741100290314,""
1252311,34,27,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099862859,40,"",1741099862127,""
