"","sub","item","Page","wordID","word_number","skipped"
"1",1077713,2,1,"Two",1,0
"2",1077713,2,1,"days",2,0
"3",1077713,2,1,"later,",3,0
"4",1077713,2,1,"the",4,0
"5",1077713,2,1,"British",5,0
"6",1077713,2,1,"astronomer",6,0
"7",1077713,2,1,"Richard",7,0
"8",1077713,2,1,"Carrington",8,0
"9",1077713,2,1,"was",9,1
"10",1077713,2,1,"observing",10,0
"11",1077713,2,1,"the",11,0
"12",1077713,2,2,"telescope",1,0
"13",1077713,2,2,"when",2,0
"14",1077713,2,2,"he",3,0
"15",1077713,2,2,"saw",4,1
"16",1077713,2,2,"what",5,1
"17",1077713,2,2,"he",6,0
"18",1077713,2,2,"described",7,0
"19",1077713,2,2,"as",8,1
"20",1077713,2,2,"""two",9,1
"21",1077713,2,2,"patches",10,1
"22",1077713,2,2,"of",11,1
"23",1077713,2,2,"intensely",12,0
"24",1077713,2,2,"bright",13,0
"25",1077713,2,2,"and ",14,1
"26",1077713,2,3,"white",1,0
"27",1077713,2,3,"light""",2,0
"28",1077713,2,3,"over",3,0
"29",1077713,2,3,"the",4,1
"30",1077713,2,3,"sunspots.",5,0
"31",1077713,2,3,"He",6,0
"32",1077713,2,3,"jotted",7,0
"33",1077713,2,3,"a",8,1
"34",1077713,2,3,"note",9,0
"35",1077713,2,3,"in",10,0
"36",1077713,2,3,"his",11,0
"37",1077713,2,3,"painstaking",12,0
"38",1077713,2,3,"record.",13,0
"39",1077713,2,4,"That",1,0
"40",1077713,2,4,"night",2,0
"41",1077713,2,4,"there",3,0
"42",1077713,2,4,"was",4,1
"43",1077713,2,4,"scarcely",5,0
"44",1077713,2,4,"a",6,0
"45",1077713,2,4,"square",7,0
"46",1077713,2,4,"inch",8,1
"47",1077713,2,4,"of",9,0
"48",1077713,2,4,"earth",10,0
"49",1077713,2,4,"that",11,0
"50",1077713,2,4,"was",12,1
"51",1077713,2,4,"not",13,0
"52",1077713,2,4,"illuminated ",14,0
"53",1077713,2,5,"by",1,1
"54",1077713,2,5,"aurora.",2,0
"55",1077713,3,1,"I",1,1
"56",1077713,3,1,"agree",2,0
"57",1077713,3,1,"that",3,0
"58",1077713,3,1,"California's",4,0
"59",1077713,3,1,"""three",5,0
"60",1077713,3,1,"strikes",6,0
"61",1077713,3,1,"and",7,0
"62",1077713,3,1,"you're",8,0
"63",1077713,3,1,"out""",9,1
"64",1077713,3,1,"law will",10,0
"65",1077713,3,1,"be",11,0
"66",1077713,3,1,"a",12,0
"67",1077713,3,2,"financial",1,0
"68",1077713,3,2,"disaster",2,0
"69",1077713,3,2,"for",3,1
"70",1077713,3,2,"taxpayers",4,0
"71",1077713,3,2,"who",5,0
"72",1077713,3,2,"care",6,1
"73",1077713,3,2,"about",7,0
"74",1077713,3,2,"education",8,1
"75",1077713,3,2,"and",9,1
"76",1077713,3,2,"other",10,0
"77",1077713,3,2,"vital",11,0
"78",1077713,3,3,"services.",1,0
"79",1077713,3,3,"But",2,0
"80",1077713,3,3,"it's",3,0
"81",1077713,3,3,"far",4,1
"82",1077713,3,3,"from",5,0
"83",1077713,3,3,"clear",6,0
"84",1077713,3,3,"that",7,0
"85",1077713,3,3,"the",8,1
"86",1077713,3,3,"law",9,0
"87",1077713,3,3,"can",10,0
"88",1077713,3,3,"even",11,0
"89",1077713,3,3,"be",12,0
"90",1077713,3,3,"credited",13,0
"91",1077713,3,3,"with",14,1
"92",1077713,3,3,"a",15,0
"93",1077713,3,4,"reduction",1,0
"94",1077713,3,4,"in",2,0
"95",1077713,3,4,"crime",3,0
"96",1077713,3,4,"in",4,1
"97",1077713,3,4,"California.",5,0
"98",1077713,3,4,"While",6,0
"99",1077713,3,4,"it's",7,0
"100",1077713,3,4,"true",8,0
"101",1077713,3,4,"that",9,0
"102",1077713,3,4,"crime",10,0
"103",1077713,3,4,"declined in",11,1
"104",1077713,3,5,"California",1,0
"105",1077713,3,5,"last",2,0
"106",1077713,3,5,"year,",3,0
"107",1077713,3,5,"crime",4,0
"108",1077713,3,5,"also",5,0
"109",1077713,3,5,"dropped",6,0
"110",1077713,3,5,"nationwide.",7,0
"111",1077713,12,1,"Some",1,0
"112",1077713,12,1,"months",2,0
"113",1077713,12,1,"later,",3,0
"114",1077713,12,1,"Michael",4,0
"115",1077713,12,1,"Larson",5,0
"116",1077713,12,1,"saw",6,0
"117",1077713,12,1,"another",7,0
"118",1077713,12,1,"opportunity",8,0
"119",1077713,12,1,"to",9,1
