Item,Page,Text
2,1,"Two days later, the@British astronomer@Richard Carrington@was observing the"
2,2,"telescope when he saw@what he described as ""two patches of@intensely bright and "
2,3,"white light"" over the@sunspots. He jotted a@note in his@painstaking record."
2,4,That night there was@scarcely a square@inch of earth that@was not illuminated 
2,5,by aurora.
3,1,"I agree that@California's ""three@strikes and you're@out"" law will be a"
3,2,financial disaster@for taxpayers who@care about education@and other vital
3,3,services. But it's@far from clear that@the law can even be@credited with a
3,4,reduction in crime in@California. While@it's true that crime@declined in
3,5,"California last year,@crime also dropped@nationwide."
7,1,Dorothy didn't know.@She looked around her@anxiously for some@familiar landmark; 
7,2,but everything was@strange. Between the@branches of the many@roads were green
7,3,"meadows and a few@shrubs and trees, but@she couldn't see the@farm-house from which"
7,4,"she had just come, or@anything she had ever@seen before,@except the shaggy"
7,5,man and Toto.
11,1,"Known as Rapa Nui to@the island's@inhabitants,@Rongorongo is a "
11,2,writing system@comprised of@pictographs. It has@been found carved into many oblong
11,3,into many oblong@wooden tablets and@other artifacts from@the island's history.
11,4,The art of writing@was not known in any@nearby islands and@the script's mere
11,5,existence is@sufficient to@confound@anthropologists.
12,1,"Some months later,@Michael Larson saw@another opportunity@to stack the odds in"
12,2,his favour with a@dash of ingenuity. He@walked into his bank@one day and asked to 
12,3,"withdraw his entire@account balance, but@with an unusual@stipulation: He"
12,4,wanted as much of the@cash as possible in@one dollar notes.
12,5,Michael Larson wanted@to empty his whole@bank account.
