Study_ID,Sentence,Target word type,Length,Frequency type,Target (N),Frequency,BNC frequency,Zipf frequency,Bigram frequency,N,Predictability,Sentence,line_breaks,Question,Question_answer,Length (char),N words,Target position,N+1 length,Fits on screen?
1,1,Adjective,6,HF,social,18768,42269,4.97,817.66,0,0,Mrs. Clark is a social person who gets along with everybody.,Mrs. Clark is a@social person who@gets along with@everybody.,Does Mrs. Clark get along with everybody?,1,60,11,5,#REF!,Yes
1,1,Adjective,6,LF,chatty,218,80,3.04,687.64,0,0,Mrs. Clark is a chatty person who gets along with everybody.,Mrs. Clark is a@chatty person who@gets along with@everybody.,Does Mrs. Clark get along with everybody?,1,60,11,5,#REF!,Yes
31,2,Adjective,6,HF,modern,21083,13180,5.02,844.12,0,0,Hannah enjoyed the modern artworks at the museum of contemporary art.,Hannah enjoyed@the modern artworks@at the museum of@contemporary art.,Did Hannah visit a classical art museum?,0,69,11,4,#REF!,Yes
31,2,Adjective,6,LF,trendy,758,246,3.58,515.92,1,0,Hannah enjoyed the trendy artworks at the museum of contemporary art.,Hannah enjoyed@the trendy artworks@at the museum of@contemporary art.,Did Hannah visit a classical art museum?,0,69,11,4,#REF!,Yes
2,3,Adjective,5,HF,green,33158,14637,5.22,1675.06,3,0,The house was recognisable by its green fence and big windows.,The house@was recognisable by@its green fence and@big windows.,Did the house have small windows?,0,62,11,8,#REF!,Yes
2,3,Adjective,5,LF,beige,254,237,3.1,914.08,0,0,The house was recognisable by its beige fence and big windows.,The house@was recognisable by@its beige fence and@big windows.,Did the house have small windows?,0,62,11,8,#REF!,Yes
32,4,Adjective,5,HF,large,25532,33771,5.1,1057.97,2,0,The building inspector examined the large roof of the house.,,Did the inspector examine the kitchen?,0,60,10,6,#REF!,Yes
32,4,Adjective,5,LF,leaky,240,82,3.08,1303.18,2,0,The building inspector examined the leaky roof of the house.,,Did the inspector examine the kitchen?,0,60,10,6,#REF!,Yes
3,5,Adjective,7,HF,massive,21948,4376,5.04,639.94,2,0,Building a house requires a massive amount of money.,Building a house@requires@a massive amount of@money.,Was the last sentence was about home building?,1,52,9,6,#REF!,Yes
3,5,Adjective,7,LF,sizable,303,79,3.18,330.11,0,0,Building a house requires a sizable amount of money.,Building a house@requires@a sizable amount of@money.,Was the last sentence was about home building?,1,52,9,6,#REF!,Yes
33,6,Adjective,6,HF,strong,35613,16126,5.25,1688.42,3,0,The bike was strong enough to be used in the mountain.,,Can the bike can be used for mountain biking?,1,54,11,4,#REF!,Yes
33,6,Adjective,6,LF,sturdy,523,471,3.42,665.99,0,0,The bike was sturdy enough to be used in the mountain.,,Can the bike can be used for mountain biking?,1,54,11,4,#REF!,Yes
4,7,Adjective,4,HF,blue,29263,10476,5.16,223.1,4,0,The company's updated logo featured a blue star in the foreground.,The company's updated@logo featured@a blue star in the@foreground.,Did the logo contain a rectangle?,0,66,11,7,#REF!,Yes
4,7,Adjective,4,LF,cyan,13,28,1.84,763.78,1,0,The company's updated logo featured a cyan star in the foreground.,The company's updated@logo featured@a cyan star in the@foreground.,Did the logo contain a rectangle?,0,66,11,7,#REF!,Yes
34,8,Adjective,4,HF,nice,136144,13186,5.83,700.59,7,0,Jim prepared a nice outfit for his best friend's wedding. ,,Was Jim going to a wedding?,1,58,10,4,#REF!,Yes
34,8,Adjective,4,LF,neat,2020,1729,4,7050.06,11,0,Jim prepared a neat outfit for his best friend's wedding. ,,Was Jim going to a wedding?,1,58,10,4,#REF!,Yes
