Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,Preview,preview,preview,question_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1113789,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",1,1721397083566,6,"",1721397081524,""
1113789,1,59,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397116122,7,"",1721397114346,""
1113789,2,20,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397120740,8,"",1721397119343,""
1113789,3,24,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397124369,9,"",1721397122940,""
1113789,4,7,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397127510,10,"",1721397126521,""
1113789,5,11,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397131105,11,"",1721397129651,""
1113789,6,26,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397160421,12,"",1721397158727,""
1113789,7,56,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397164666,13,"",1721397163240,""
1113789,8,10,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397168260,14,"",1721397166887,""
1113789,9,30,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397172549,15,"",1721397170934,""
1113789,10,14,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397176125,16,"",1721397174781,""
1113789,11,52,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397206556,17,"",1721397204156,""
1113789,12,36,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397210198,18,"",1721397208653,""
1113789,13,5,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397215933,19,"",1721397214552,""
1113789,14,42,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397220755,20,"",1721397219127,""
1113789,15,31,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397228227,21,"",1721397222692,""
1113789,16,12,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397257757,22,"",1721397254649,""
1113789,17,32,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397266674,23,"",1721397261243,""
1113789,18,34,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397271421,24,"",1721397268704,""
1113789,19,2,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397275519,25,"",1721397273718,""
1113789,20,9,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397280518,26,"",1721397278679,""
1113789,21,60,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397326177,27,"",1721397305907,""
1113789,22,50,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397329948,28,"",1721397328854,""
1113789,23,29,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397336423,29,"",1721397334750,""
1113789,24,27,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397345499,30,"",1721397343844,""
1113789,25,38,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397349491,31,"",1721397347773,""
1113789,26,23,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397388019,32,"",1721397386807,""
1113789,27,13,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397392039,33,"",1721397390122,""
1113789,28,55,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397396293,34,"",1721397394418,""
1113789,29,54,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397401557,35,"",1721397399247,""
1113789,30,4,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397405861,36,"",1721397404360,""
1113789,31,47,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397435703,37,"",1721397434037,""
1113789,32,51,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397440789,38,"",1721397439314,""
1113789,33,15,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397453079,39,"",1721397451256,""
1113789,34,3,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397468112,40,"",1721397462879,""
1113789,35,33,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397473367,41,"",1721397471487,""
1113789,36,1,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397503160,42,"",1721397501080,""
1113789,37,48,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397506776,43,"",1721397505576,""
1113789,38,44,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397510530,44,"",1721397509224,""
1113789,39,16,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397513743,45,"",1721397512371,""
1113789,40,45,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397518758,46,"",1721397515951,""
1113789,41,17,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397549229,47,"",1721397548011,""
1113789,42,37,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397559081,48,"",1721397557667,""
1113789,43,25,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397576292,49,"",1721397567759,""
1113789,44,53,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397608900,50,"",1721397606429,""
1113789,45,22,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397619928,51,"",1721397617756,""
1113789,46,43,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397646497,52,"",1721397645011,""
1113789,47,21,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397650362,53,"",1721397648643,""
1113789,48,39,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397654483,54,"",1721397652721,""
1113789,49,18,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397658555,55,"",1721397656834,""
1113789,50,49,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397662073,56,"",1721397660032,""
1113789,51,41,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397689204,57,"",1721397687610,""
1113789,52,58,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397693373,58,"",1721397691673,""
1113789,53,28,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397696970,59,"",1721397695403,""
1113789,54,46,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397699786,60,"",1721397698636,""
1113789,55,35,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",1,1721397702737,61,"",1721397701365,""
1113789,56,8,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",0,1721397765837,62,"",1721397764147,""
1113789,57,40,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397770338,63,"",1721397768726,""
1113789,58,57,block_1,1,sentence,2,"","","",2,"","",low,"","","","","",0,1721397775536,64,"",1721397772940,""
1113789,59,19,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397778968,65,"",1721397777686,""
1113789,60,6,block_1,1,sentence,2,"","","",1,"","",high,"","","","","",1,1721397782116,66,"",1721397781067,""
1113789,1,13,block_1,1,sentence_DC,3,"",372,"",1,"","","","","",valid,"","",0,1721397811593,67,1721397811214,1721397810759,""
1113789,2,15,block_1,1,sentence_DC,3,"",241,"",1,"","","","","",valid,"","",0,1721397814407,68,1721397813619,1721397813490,""
1113789,3,1,block_1,1,sentence_DC,3,"",405,"",1,"","","","","",valid,"","",0,1721397816450,69,1721397816275,1721397815838,""
1113789,4,33,block_1,1,sentence_DC,3,"",276,"",2,"","","","","",invalid,"","",1,1721397818742,70,1721397818305,1721397817903,""
1113789,5,3,block_1,1,sentence_DC,3,"",342,"",1,"","","","","",valid,"","",0,1721397821674,71,1721397821546,1721397820966,""
1113789,6,22,block_1,1,sentence_DC,3,"",306,"",2,"","","","","",invalid,"","",1,1721397847635,72,1721397847350,1721397846864,""
1113789,7,10,block_1,1,sentence_DC,3,"",242,"",1,"","","","","",valid,"","",0,1721397851261,73,1721397850837,1721397850510,""
1113789,8,14,block_1,1,sentence_DC,3,"",309,"",1,"","","","","",valid,"","",1,1721397854373,74,1721397854099,1721397853574,""
1113789,9,24,block_1,1,sentence_DC,3,"",342,"",2,"","","","","",invalid,"","",1,1721397856736,75,1721397856586,1721397856131,""
1113789,10,7,block_1,1,sentence_DC,3,"",341,"",1,"","","","","",valid,"","",1,1721397858828,76,1721397858665,1721397858024,""
1113789,11,5,block_1,1,sentence_DC,3,"",405,"",1,"","","","","",valid,"","",1,1721397884738,77,1721397884265,1721397884032,""
1113789,12,21,block_1,1,sentence_DC,3,"",275,"",2,"","","","","",invalid,"","",0,1721397886859,78,1721397886576,1721397886165,""
1113789,13,4,block_1,1,sentence_DC,3,"",241,"",1,"","","","","",valid,"","",1,1721397889734,79,1721397889439,1721397889078,""
1113789,14,34,block_1,1,sentence_DC,3,"",300,"",2,"","","","","",invalid,"","",1,1721397892202,80,1721397891877,1721397891486,""
1113789,15,8,block_1,1,sentence_DC,3,"",308,"",1,"","","","","",valid,"","",0,1721397894849,81,1721397894495,1721397894193,""
1113789,16,9,block_1,1,sentence_DC,3,"",309,"",1,"","","","","",valid,"","",0,1721397921468,82,1721397920489,1721397920086,""
1113789,17,2,block_1,1,sentence_DC,3,"",341,"",1,"","","","","",valid,"","",1,1721397923801,83,1721397923482,1721397923050,""
1113789,18,31,block_1,1,sentence_DC,3,"",308,"",2,"","","","","",invalid,"","",1,1721397926326,84,1721397926098,1721397925759,""
1113789,19,6,block_1,1,sentence_DC,3,"",207,"",1,"","","","","",valid,"","",0,1721397927795,85,1721397927434,1721397927181,""
1113789,20,39,block_1,1,sentence_DC,3,"",311,"",2,"","","","","",invalid,"","",1,1721397930349,86,1721397929695,1721397929378,""
1113789,21,17,block_1,1,sentence_DC,3,"",274,"",1,"","","","","",valid,"","",0,1721397956801,87,1721397956244,1721397955907,""
1113789,22,11,block_1,1,sentence_DC,3,"",273,"",1,"","","","","",valid,"","",0,1721397959829,88,1721397959438,1721397959156,""
1113789,23,32,block_1,1,sentence_DC,3,"",267,"",2,"","","","","",invalid,"","",1,1721397962729,89,1721397962104,1721397961602,""
1113789,24,37,block_1,1,sentence_DC,3,"",277,"",2,"","","","","",invalid,"","",1,1721397966299,90,1721397965606,1721397965366,""
1113789,25,26,block_1,1,sentence_DC,3,"",308,"",2,"","","","","",invalid,"","",1,1721397968539,91,1721397967913,1721397967831,""
1113789,26,23,block_1,1,sentence_DC,3,"",376,"",2,"","","","","",invalid,"","",1,1721397994427,92,1721397993482,1721397993044,""
1113789,27,36,block_1,1,sentence_DC,3,"",176,"",2,"","","","","",invalid,"","",1,1721397995603,93,1721397994834,1721397994791,""
1113789,28,35,block_1,1,sentence_DC,3,"",308,"",2,"","","","","",invalid,"","",0,1721397997099,94,1721397996860,1721397996473,""
1113789,29,18,block_1,1,sentence_DC,3,"",243,"",1,"","","","","",valid,"","",1,1721397999880,95,1721397999188,1721397999154,""
1113789,30,40,block_1,1,sentence_DC,3,"",241,"",2,"","","","","",invalid,"","",1,1721398003172,96,1721398002256,1721398001935,""
1113789,31,28,block_1,1,sentence_DC,3,"",344,"",2,"","","","","",invalid,"","",0,1721398029223,97,1721398029057,1721398028530,""
1113789,32,25,block_1,1,sentence_DC,3,"",405,"",2,"","","","","",invalid,"","",1,1721398032330,98,1721398031739,1721398031111,""
1113789,33,20,block_1,1,sentence_DC,3,"",309,"",1,"","","","","",valid,"","",0,1721398035074,99,1721398034719,1721398034243,""
1113789,34,19,block_1,1,sentence_DC,3,"",275,"",1,"","","","","",valid,"","",1,1721398037728,100,1721398037368,1721398037240,""
1113789,35,30,block_1,1,sentence_DC,3,"",278,"",2,"","","","","",invalid,"","",1,1721398039523,101,1721398039307,1721398038821,""
1113789,36,12,block_1,1,sentence_DC,3,"",277,"",1,"","","","","",valid,"","",0,1721398065427,102,1721398065243,1721398064833,""
1113789,37,29,block_1,1,sentence_DC,3,"",273,"",2,"","","","","",invalid,"","",1,1721398068803,103,1721398068133,1721398067815,""
1113789,38,27,block_1,1,sentence_DC,3,"",310,"",2,"","","","","",invalid,"","",0,1721398072656,104,1721398072352,1721398071994,""
1113789,39,16,block_1,1,sentence_DC,3,"",275,"",1,"","","","","",valid,"","",1,1721398075706,105,1721398075413,1721398075108,""
1113789,40,38,block_1,1,sentence_DC,3,"",277,"",2,"","","","","",invalid,"","",1,1721398079389,106,1721398078795,1721398078472,""
1113789,1,1,block_1,1,End,4,"","","",1,"","","","","","","","","","","","","",""
