Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,freetext_quest,Frequency,gaze_box,gaze_box_object,Preview,preview,preview,question_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1114039,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","","",1,1721403320463,6,"",1721403316321,""
1114039,1,8,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721403361428,7,"",1721403354858,""
1114039,2,14,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721403365967,8,"",1721403364011,""
1114039,3,55,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721403371447,9,"",1721403368379,""
1114039,4,46,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721403376542,10,"",1721403373874,""
1114039,5,7,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721403382479,11,"",1721403379857,""
1114039,6,60,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721403413780,12,"",1721403408824,""
1114039,7,1,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721403418597,13,"",1721403416426,""
1114039,8,39,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721403424235,14,"",1721403420876,""
1114039,9,9,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721403428532,15,"",1721403425940,""
1114039,10,56,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721403434410,16,"",1721403431776,""
1114039,11,13,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721403463379,17,"",1721403460617,""
1114039,12,36,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721403476194,18,"",1721403473666,""
1114039,13,28,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721403480892,19,"",1721403478233,""
1114039,14,30,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721403486410,20,"",1721403482925,""
1114039,15,24,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721403491197,21,"",1721403488598,""
1114039,16,37,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721403533970,22,"",1721403527059,""
1114039,17,58,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721403538843,23,"",1721403536578,""
1114039,18,15,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721403543226,24,"",1721403540981,""
