Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,freetext_quest,Frequency,gaze_box,gaze_box_object,Preview,preview,preview,question_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1114069,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","","",1,1721404764219,6,"",1721404757552,""
1114069,1,54,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721404802396,7,"",1721404797893,""
1114069,2,34,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721404807758,8,"",1721404804650,""
1114069,3,8,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721404812462,9,"",1721404809221,""
1114069,4,3,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721404816549,10,"",1721404814627,""
1114069,5,13,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721404824154,11,"",1721404818965,""
1114069,6,55,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721404855148,12,"",1721404849562,""
1114069,7,30,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721404863273,13,"",1721404857038,""
1114069,8,14,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721404871117,14,"",1721404868265,""
1114069,9,32,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721404879841,15,"",1721404874106,""
1114069,10,58,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721404888945,16,"",1721404885367,""
1114069,11,11,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721404917499,17,"",1721404913928,""
1114069,12,46,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721404922099,18,"",1721404919334,""
1114069,13,19,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721404926004,19,"",1721404923704,""
1114069,14,1,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721404937052,20,"",1721404932650,""
1114069,15,35,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721404942358,21,"",1721404938699,""
1114069,16,25,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721404971171,22,"",1721404967903,""
1114069,17,60,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721404977544,23,"",1721404973116,""
1114069,18,48,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721404981957,24,"",1721404978835,""
1114069,19,6,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721404986328,25,"",1721404983948,""
1114069,20,15,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721404991909,26,"",1721404988525,""
1114069,21,10,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721405026281,27,"",1721405017433,""
1114069,22,9,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721405037295,28,"",1721405031817,""
1114069,23,7,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721405042430,29,"",1721405038904,""
1114069,24,39,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721405047005,30,"",1721405044010,""
1114069,25,29,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721405052087,31,"",1721405048861,""
1114069,26,59,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721405081372,32,"",1721405077712,""
1114069,27,21,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721405086516,33,"",1721405083083,""
1114069,28,57,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721405092590,34,"",1721405089008,""
1114069,29,37,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721405099189,35,"",1721405095012,""
1114069,30,43,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721405105839,36,"",1721405102537,""
1114069,31,49,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",0,1721405135444,37,"",1721405131343,""
1114069,32,31,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721405144839,38,"",1721405137000,""
1114069,33,20,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721405152733,39,"",1721405148904,""
1114069,34,26,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721405156642,40,"",1721405154306,""
1114069,35,51,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","",1,1721405160637,41,"",1721405158443,""
1114069,36,24,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",0,1721405194136,42,"",1721405186323,""
1114069,37,12,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721405229440,43,"",1721405196966,""
1114069,38,16,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721405252775,44,"",1721405242028,""
1114069,39,18,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","",1,1721405260195,45,"",1721405255359,""
