Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,freetext_quest,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1114434,1,1,block_1,1,instructions,1,"","","",1,"","","","","","",4.579439252336449,"","","",1,60,1721467159902,6,"",1721467153866,""
1114434,1,19,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467216131,7,"",1721467213207,""
1114434,2,30,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",0,"",1721467224998,8,"",1721467221347,""
1114434,3,42,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467233498,9,"",1721467229994,""
1114434,4,14,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",0,"",1721467244693,10,"",1721467237674,""
1114434,5,58,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467252153,11,"",1721467247584,""
1114434,6,25,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467291137,12,"",1721467287685,""
1114434,7,33,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467307397,13,"",1721467304009,""
1114434,8,1,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467319668,14,"",1721467316617,""
1114434,9,26,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",0,"",1721467331121,15,"",1721467326678,""
1114434,10,7,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467340122,16,"",1721467334558,""
1114434,11,53,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467378893,17,"",1721467373689,""
1114434,12,31,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467386741,18,"",1721467382001,""
1114434,13,20,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467394183,19,"",1721467391102,""
1114434,14,17,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",0,"",1721467409429,20,"",1721467403774,""
1114434,15,29,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",0,"",1721467420479,21,"",1721467413535,""
1114434,16,45,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467458306,22,"",1721467455132,""
1114434,17,32,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467465656,23,"",1721467461795,""
1114434,18,13,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467472157,24,"",1721467468224,""
1114434,19,55,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467478776,25,"",1721467474754,""
1114434,20,57,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467486584,26,"",1721467481018,""
1114434,21,28,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",0,"",1721467519106,27,"",1721467515686,""
1114434,22,60,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467527274,28,"",1721467521415,""
1114434,23,38,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467534187,29,"",1721467529594,""
1114434,24,37,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467541257,30,"",1721467536790,""
1114434,25,41,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467549560,31,"",1721467545320,""
1114434,26,51,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467586257,32,"",1721467582717,""
1114434,27,36,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467596033,33,"",1721467589531,""
1114434,28,47,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467605188,34,"",1721467598328,""
1114434,29,22,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467615147,35,"",1721467607605,""
1114434,30,24,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",0,"",1721467622467,36,"",1721467618218,""
1114434,31,50,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467667209,37,"",1721467664027,""
1114434,32,44,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467674375,38,"",1721467670544,""
1114434,33,40,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",1,"",1721467683383,39,"",1721467679935,""
1114434,34,3,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467702412,40,"",1721467696311,""
1114434,35,49,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467713140,41,"",1721467707789,""
1114434,36,2,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",0,"",1721467746379,42,"",1721467742156,""
1114434,37,46,block_1,1,sentence,2,"","","",2,"","","",low,"","","","","","",0,"",1721467758013,43,"",1721467752276,""
1114434,38,15,block_1,1,sentence,2,"","","",1,"","","",high,"","","","","","",1,"",1721467770561,44,"",1721467761562,""
