Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1252283,1,1,block_1,1,Questions,4,"","","",1,"","",60,"","","","",25,"","","","","","","","","","","","","",""
1252283,1,31,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741098579687,7,"",1741098575055,""
1252283,1,19,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099316336,67,"",1741099314805,""
1252283,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",3.843457943925234,"","","","",0,"",60,"",1741098540680,6,"",1741098536303,""
1252283,2,34,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099319563,68,"",1741099318391,""
1252283,2,38,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098584859,8,"",1741098581910,""
1252283,3,35,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099322674,69,"",1741099321276,""
1252283,3,4,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098591222,9,"",1741098587681,""
1252283,4,10,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099328430,70,"",1741099326780,""
1252283,4,58,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741098596953,10,"",1741098593135,""
1252283,5,49,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741098602531,11,"",1741098598590,""
1252283,5,6,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099341982,71,"",1741099331567,""
1252283,6,46,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741098631785,12,"",1741098628126,""
1252283,6,15,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099368458,72,"",1741099367160,""
1252283,7,56,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098638119,13,"",1741098633613,""
1252283,7,27,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099372862,73,"",1741099371896,""
1252283,8,57,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741098644421,14,"",1741098640301,""
1252283,8,21,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099390296,74,"",1741099380251,""
1252283,9,27,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098650487,15,"",1741098646823,""
1252283,9,26,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099394576,75,"",1741099393577,""
1252283,10,29,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099398648,76,"",1741099397296,""
1252283,10,30,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098656543,16,"",1741098652893,""
1252283,11,50,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098693009,17,"",1741098690186,""
1252283,11,22,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099437010,77,"",1741099435207,""
1252283,12,60,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098698379,18,"",1741098695523,""
1252283,12,13,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099445576,78,"",1741099443930,""
1252283,13,42,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098702986,19,"",1741098699959,""
1252283,13,28,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099448790,79,"",1741099447599,""
1252283,14,32,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099464158,80,"",1741099457822,""
1252283,14,33,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098709466,20,"",1741098706998,""
1252283,15,40,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099469436,81,"",1741099468513,""
1252283,15,32,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741098715679,21,"",1741098712819,""
1252283,16,9,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099496160,82,"",1741099494782,""
1252283,16,20,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741098744887,22,"",1741098741522,""
1252283,17,7,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099499209,83,"",1741099497653,""
1252283,17,36,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098751183,23,"",1741098747777,""
1252283,18,8,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098760217,24,"",1741098755065,""
1252283,18,37,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099502241,84,"",1741099501171,""
1252283,19,34,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098765736,25,"",1741098762956,""
1252283,19,20,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099506317,85,"",1741099504956,""
1252283,20,8,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099510561,86,"",1741099508259,""
1252283,20,37,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741098774167,26,"",1741098771162,""
1252283,21,12,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098815875,27,"",1741098813459,""
1252283,21,17,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099537956,87,"",1741099536378,""
1252283,22,4,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099542378,88,"",1741099541282,""
1252283,22,26,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098821351,28,"",1741098818664,""
1252283,23,2,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099551811,89,"",1741099550823,""
1252283,23,28,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098827418,29,"",1741098823367,""
1252283,24,39,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099554187,90,"",1741099553257,""
1252283,24,10,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098833043,30,"",1741098829872,""
1252283,25,29,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098840864,31,"",1741098836843,""
1252283,25,36,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099557451,91,"",1741099556293,""
1252283,26,16,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099596337,92,"",1741099595070,""
1252283,26,40,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098870405,32,"",1741098867282,""
1252283,27,59,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098876609,33,"",1741098874053,""
1252283,27,18,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099599387,93,"",1741099598455,""
1252283,28,31,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099601513,94,"",1741099600624,""
1252283,28,5,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098885343,34,"",1741098882745,""
1252283,29,23,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741098890143,35,"",1741098887530,""
1252283,29,3,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099604001,95,"",1741099603059,""
1252283,30,23,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099606607,96,"",1741099605728,""
1252283,30,53,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098898570,36,"",1741098893418,""
1252283,31,33,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099644823,97,"",1741099643003,""
1252283,31,24,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098927269,37,"",1741098923956,""
1252283,32,41,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098932975,38,"",1741098929283,""
1252283,32,12,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099647483,98,"",1741099646522,""
1252283,33,38,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099652105,99,"",1741099649775,""
1252283,33,2,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098944777,39,"",1741098937649,""
1252283,34,35,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741098949403,40,"",1741098946858,""
1252283,34,25,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741099668384,100,"",1741099667371,""
1252283,35,1,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099672695,101,"",1741099671440,""
1252283,35,11,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741098954180,41,"",1741098951194,""
1252283,36,14,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099699651,102,"",1741099698409,""
1252283,36,52,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741098991107,42,"",1741098987870,""
1252283,37,7,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741098997964,43,"",1741098993473,""
1252283,37,24,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099705970,103,"",1741099704030,""
1252283,38,11,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741099712767,104,"",1741099710768,""
1252283,38,22,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741099005971,44,"",1741099000981,""
1252283,39,55,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741099024092,45,"",1741099021112,""
1252283,39,5,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741099719093,105,"",1741099718158,""
1252283,40,30,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741099722261,106,"",1741099721042,""
1252283,40,54,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741099029268,46,"",1741099025865,""
1252283,41,16,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741099056851,47,"",1741099054602,""
1252283,42,18,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741099061875,48,"",1741099058821,""
1252283,43,17,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099068287,49,"",1741099065560,""
1252283,44,13,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099082190,50,"",1741099077135,""
1252283,45,14,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099095483,51,"",1741099087992,""
1252283,46,44,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741099123673,52,"",1741099121200,""
1252283,47,3,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099127373,53,"",1741099125253,""
1252283,48,47,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741099137651,54,"",1741099137395,""
1252283,49,51,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741099146189,55,"",1741099141064,""
1252283,50,6,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099152161,56,"",1741099149153,""
1252283,51,9,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099188000,57,"",1741099185313,""
1252283,52,19,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741099192286,58,"",1741099190116,""
1252283,53,25,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099198504,59,"",1741099195320,""
1252283,54,15,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741099210797,60,"",1741099206644,""
1252283,55,45,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741099216154,61,"",1741099213166,""
1252283,56,43,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741099250587,62,"",1741099246607,""
1252283,57,48,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741099258238,63,"",1741099253361,""
1252283,58,1,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741099274799,64,"",1741099272491,""
1252283,59,39,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741099279945,65,"",1741099276711,""
1252283,60,21,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741099284555,66,"",1741099281765,""
