Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1252351,1,15,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100799897,47,"",1741100797658,""
1252351,1,1,block_1,1,Questions,4,"","","",1,"","",15,"","","","",18,"","","","","","","","","","","","","",""
1252351,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",5.841121495327103,"","","","",0,"",60,"",1741100287625,6,"",1741100284885,""
1252351,1,18,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741100325022,7,"",1741100323117,""
1252351,2,43,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100826095,48,"",1741100824658,""
1252351,2,27,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741100328812,8,"",1741100328147,""
1252351,3,13,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100829886,49,"",1741100828086,""
1252351,3,9,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100332568,9,"",1741100331825,""
1252351,4,31,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741100832872,50,"",1741100831372,""
1252351,4,40,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100336856,10,"",1741100336117,""
1252351,5,12,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100836500,51,"",1741100833983,""
1252351,5,20,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100340871,11,"",1741100340064,""
1252351,6,21,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741100373429,12,"",1741100372618,""
1252351,6,49,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741100865603,52,"",1741100863670,""
1252351,7,39,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100872074,53,"",1741100870430,""
1252351,7,19,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100379682,13,"",1741100379097,""
1252351,8,48,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100875578,54,"",1741100874327,""
1252351,8,30,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100386746,14,"",1741100386052,""
1252351,9,14,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741100390160,15,"",1741100388330,""
1252351,9,23,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100879833,55,"",1741100877744,""
1252351,10,3,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100883089,56,"",1741100881826,""
1252351,10,24,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100396495,16,"",1741100395668,""
1252351,11,1,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100912176,57,"",1741100910739,""
1252351,11,26,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100439539,17,"",1741100438891,""
1252351,12,7,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741100446315,18,"",1741100446306,""
1252351,12,25,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100916458,58,"",1741100915202,""
1252351,13,54,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741100926353,59,"",1741100923940,""
1252351,13,25,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741100453470,19,"",1741100452709,""
1252351,14,38,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100460602,20,"",1741100459522,""
1252351,14,56,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100938050,60,"",1741100934413,""
1252351,15,44,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100946614,61,"",1741100944926,""
1252351,15,2,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741100468339,21,"",1741100467237,""
1252351,16,15,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100503418,22,"",1741100502048,""
1252351,16,50,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100977082,62,"",1741100975657,""
1252351,17,26,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741100980452,63,"",1741100979177,""
1252351,17,31,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100510139,23,"",1741100509290,""
1252351,18,6,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100985301,64,"",1741100984055,""
1252351,18,1,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100517155,24,"",1741100516366,""
1252351,19,17,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100521478,25,"",1741100520527,""
1252351,19,28,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741100988297,65,"",1741100986688,""
1252351,20,33,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100528671,26,"",1741100527464,""
1252351,20,53,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741100992110,66,"",1741100990389,""
1252351,21,58,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741101020131,67,"",1741101018333,""
1252351,21,13,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100557931,27,"",1741100556757,""
1252351,22,35,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741100564856,28,"",1741100563921,""
1252351,22,38,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101023670,68,"",1741101022402,""
1252351,23,29,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741100569634,29,"",1741100568793,""
1252351,23,35,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101026293,69,"",1741101025063,""
1252351,24,11,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100576456,30,"",1741100575484,""
1252351,24,55,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101028877,70,"",1741101027430,""
1252351,25,4,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741100583095,31,"",1741100582410,""
1252351,25,37,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741101032657,71,"",1741101030954,""
1252351,26,19,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741101076767,72,"",1741101071520,""
1252351,26,8,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100647409,32,"",1741100645986,""
1252351,27,29,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101080319,73,"",1741101078992,""
1252351,27,32,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100655067,33,"",1741100653890,""
1252351,28,23,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100661652,34,"",1741100660710,""
1252351,28,45,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741101086302,74,"",1741101084582,""
1252351,29,42,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101090787,75,"",1741101088881,""
1252351,29,16,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741100668417,35,"",1741100667604,""
1252351,30,4,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101094092,76,"",1741101092813,""
1252351,30,6,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100675704,36,"",1741100674233,""
1252351,31,51,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101136570,77,"",1741101135056,""
1252351,31,34,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100702085,37,"",1741100700999,""
1252351,32,21,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101142477,78,"",1741101140704,""
1252351,32,3,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100710719,38,"",1741100709860,""
1252351,33,36,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100712464,39,"",1741100711682,""
1252351,33,9,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101145132,79,"",1741101143909,""
1252351,34,39,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741100714263,40,"",1741100713601,""
1252351,34,59,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101147795,80,"",1741101146569,""
1252351,35,37,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100716135,41,"",1741100715614,""
1252351,35,60,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101150581,81,"",1741101149017,""
1252351,36,36,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101194338,82,"",1741101192224,""
1252351,36,28,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100742932,42,"",1741100741979,""
1252351,37,22,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741100751642,43,"",1741100750979,""
1252351,37,30,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101198714,83,"",1741101197639,""
1252351,38,2,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741101203151,84,"",1741101202138,""
1252351,38,12,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100758761,44,"",1741100758595,""
1252351,39,14,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101212913,85,"",1741101211101,""
1252351,39,5,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741100761018,45,"",1741100760077,""
1252351,40,10,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741100762506,46,"",1741100761816,""
1252351,40,40,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101215933,86,"",1741101214820,""
1252351,41,27,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101242089,87,"",1741101241734,""
1252351,42,16,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741101245503,88,"",1741101244151,""
1252351,43,20,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741101247862,89,"",1741101247014,""
1252351,44,47,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101251497,90,"",1741101250216,""
1252351,45,52,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101253986,91,"",1741101252729,""
1252351,46,5,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101282257,92,"",1741101280479,""
1252351,47,46,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741101286272,93,"",1741101284293,""
1252351,48,57,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741101290899,94,"",1741101289324,""
1252351,49,32,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741101297611,95,"",1741101296438,""
1252351,50,41,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101305082,96,"",1741101303644,""
1252351,51,17,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101336557,97,"",1741101331964,""
1252351,52,18,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101340582,98,"",1741101338332,""
1252351,53,8,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101343509,99,"",1741101341748,""
1252351,54,33,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101345831,100,"",1741101344577,""
1252351,55,22,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741101348067,101,"",1741101346697,""
1252351,56,11,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101385078,102,"",1741101382913,""
1252351,57,10,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741101396185,103,"",1741101394639,""
1252351,58,34,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741101408501,104,"",1741101401575,""
1252351,59,24,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741101412160,105,"",1741101409687,""
1252351,60,7,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741101414499,106,"",1741101413369,""
