Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1252363,1,1,block_1,1,Questions,4,"","","",1,"","",Around 45-50cm,"","","","",13.1,"","","","","","","","","","","","","",""
1252363,1,36,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741102390109,7,"",1741102386521,""
1252363,1,25,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741102922668,47,"",1741102919255,""
1252363,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",5.046728971962617,"","","","",1,"",60,"",1741102342613,6,"",1741102333775,""
1252363,2,15,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741102395020,8,"",1741102392043,""
1252363,2,47,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102932229,48,"",1741102928622,""
1252363,3,52,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102948717,49,"",1741102943722,""
1252363,3,37,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741102404252,9,"",1741102402909,""
1252363,4,37,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741102956451,50,"",1741102952855,""
1252363,4,1,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741102418307,10,"",1741102413159,""
1252363,5,26,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741102426894,11,"",1741102423741,""
1252363,5,41,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741102965194,51,"",1741102961261,""
1252363,6,3,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741103013857,52,"",1741103011376,""
1252363,6,6,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741102461178,12,"",1741102459425,""
1252363,7,26,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741103030390,53,"",1741103021571,""
1252363,7,20,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741102465135,13,"",1741102463940,""
1252363,8,45,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741103045533,54,"",1741103041188,""
1252363,8,8,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741102468253,14,"",1741102467024,""
1252363,9,15,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741103063203,55,"",1741103055005,""
1252363,9,17,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741102472195,15,"",1741102470026,""
1252363,10,14,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741103077484,56,"",1741103072955,""
1252363,10,24,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741102476723,16,"",1741102474640,""
1252363,11,11,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741102504622,17,"",1741102503390,""
1252363,11,54,block_1,1,sentence,3,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741103125386,57,"",1741103120056,""
1252363,12,5,block_1,1,sentence_DC,2,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741102512990,18,"",1741102511826,""
1252363,12,18,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741103136919,58,"",1741103132525,""
1252363,13,31,block_1,1,sentence_DC,2,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741102523111,19,"",1741102521991,""
1252363,13,6,block_1,1,sentence,3,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741103147893,59,"",1741103144746,""
