Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,distance_monitor,freetext_quest2,Frequency,gaze_box,gaze_box_object,physcial_width,pixel_density,Preview,preview,preview,Quest_changes,question_answer,screen_answer,screen_dist,text_answer,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1255960,1,1,block_1,1,Questions,4,"","","",1,"","",77,"","","","",27,"","","","","","","","","","","","","",""
1255960,1,57,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741380155539,7,"",1741380133339,""
1255960,1,1,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741380986929,67,"",1741380985048,""
1255960,1,1,block_1,1,instructions,1,"","","",1,"","","","","","","","",5.841121495327103,"","","","",1,"",60,"",1741380097198,6,"",1741380085420,""
1255960,2,3,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741380990475,68,"",1741380988898,""
1255960,2,43,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741380165697,8,"",1741380158941,""
1255960,3,6,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",0,"","","",1741380994540,69,"",1741380991915,""
1255960,3,52,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",0,"","","",1741380176978,9,"",1741380169924,""
1255960,4,14,block_1,1,sentence_DC,3,"","","",1,"","","","","","","","","",valid,"","","",1,"","","",1741380997418,70,"",1741380995915,""
1255960,4,16,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",1,"","","",1741380186285,10,"",1741380179858,""
1255960,5,30,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741380195013,11,"",1741380189708,""
1255960,5,30,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741381000846,71,"",1741380999449,""
1255960,6,2,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741380229165,12,"",1741380221677,""
1255960,6,24,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741381028082,72,"",1741381026316,""
1255960,7,50,block_1,1,sentence,2,"","","",2,"","","","",low,"","","","","","","","",1,"","","",1741380243374,13,"",1741380231294,""
1255960,7,40,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",1,"","","",1741381032012,73,"",1741381030650,""
1255960,8,17,block_1,1,sentence,2,"","","",1,"","","","",high,"","","","","","","","",0,"","","",1741380250816,14,"",1741380246411,""
1255960,8,29,block_1,1,sentence_DC,3,"","","",2,"","","","","","","","","",invalid,"","","",0,"","","",1741381035508,74,"",1741381033884,""
